詞目id,漢字,鹿港偏泉腔,三峽偏泉腔,臺北偏泉腔,宜蘭偏漳腔,臺南混合腔,高雄混合腔,金門偏泉腔,馬公偏泉腔,新竹偏泉腔,臺中偏漳腔
,雙,sang,sang,siang,siang,siang,siang,sang,sang,sang,siang
,雞,kue,kere,kue,ke,ke,ke,kue,kue,kue,ke
,題,tuê,terê,tuê,tê,tê,tê,tuê,tuê,tuê,tê
,颺,tshiûnn,tshiûnn,tshiûnn,tshiûnn,tshiônn,tshiûnn,tshiûnn,tshiûnn,tshiûnn,tshiûnn
,鵝,giâ,giâ,giâ,gô,gôr,gôr,giâ,giâ,giâ,gô
,簿,phǒo,phōo,phōo,phōo,phōo,phōo,phōo,phōo,phōo,phōo
,羹,kinn,kinn,kinn,kenn,kenn,kenn,kinn,kinn,kinn,kenn
,關,kuinn,kuinn,kuinn,kuainn,kuainn,kuainn,kuinn,kuinn,kuinn,kuainn
,勸,khǹg,khǹg,khǹg,khuìnn,khǹg,khǹg,khǹg,khǹg,khǹg,khǹg
,寶,pó,pó,pó,pó,pór,pór,pó,pó,pó,pó
,癢,tsiǔnn,tsiūnn,tsiūnn,tsiūnn,tsiōnn,tsiūnn,tsiūnn,tsiūnn,tsiūnn,tsiūnn
,襪,be̍rh,be̍rh,be̍h,bue̍h,bue̍h,bue̍h,be̍rh,be̍h,"be̍rh,be̍h",bue̍h
,髓,tshér,tshér,tshé,tshué,tshué,tshué,tshér,tshé,"tshér,tshé",tshué
,鱖,kèr,kèr,kè,kuè,kuè,kuè,kèr,kè,"kèr,kè",kuè
,讓,niū,niū,niū,niū,niōo,niū,niū,niū,niū,niū
,躡,nih,nih,nih,neh,neh,neh,nih,nih,nih,neh
,鑽,tsǹg,tsǹg,tsǹg,tsuìnn,tsǹg,tsǹg,tsǹg,tsǹg,tsǹg,tsǹg
,䖙,the,the,the,"thenn,the",the,the,the,the,the,thenn
,䘼,ńg,ńg,ńg,uínn,ńg,ńg,ńg,ńg,ńg,ńg
,𧮙,tsho̍h,tshoh,tshoh,tshoh,tshorh,tshorh,tsho̍h,tsho̍h,tsho̍h,tsho̍h
,𠕇,tǐng,tīng,tīng,tīng,tīng,tīng,tīng,"tān,tīng",tīng,tīng
,𣻸,siûnn,siûnn,siûnn,siûnn,siônn,siûnn,siûnn,siûnn,siûnn,siûnn
,苧,tuē,terē,tuē,tē,tē,tē,tuē,tuē,tuē,tē
,稈,,kuínn,kuínn,,kuáinn,kuáinn,kuáinn,kuínn,kuáinn
,丈,tiǔnn,tiūnn,tiūnn,tiūnn,tiōnn,tiūnn,tiūnn,tiūnn,tiūnn,tiūnn
,方,png,png,png,puinn,png,png,png,png,png,png
,全,tsn̂g,tsn̂g,tsn̂g,tsuînn,tsn̂g,tsn̂g,tsn̂g,tsn̂g,tsn̂g,tsn̂g
,危,guî,guî,uî,huî,huî,huî,guî,guî,"guî,luî","guî,huî"
,后,hiō,hiō,hiō,hōo,hiōr,hiōr,hōo,hiō,hiō,hiō
,后,hiō,hiō,hiō,hōo,hiōr,hiōr,hōo,hiō,hiō,hiō
,灰,her,her,he,hue,hue,hue,her,he,"her,he",hue
,吳,ngôo,ngôo,ngôo,gôo,gôo,ngôo,gôo,ngôo,ngôo,gôo
,車,kir,kir,ku,ki,ki,ki,kir,ku,"kir,ki",ki
,阮,ńg,ńg,ńg,uínn,ńg,ńg,ńg,ńg,ńg,ńg
,乳,lú,jú,lú,jí,"jú,lú",jú,lú,jú,"jú,lú",jú
,呵,o,o,o,o,or,or,o,o,o,o
,尚,siǔnn,siūnn,siūnn,siūnn,siōnn,siūnn,siūnn,siūnn,siūnn,siūnn
,居,kir,kir,ku,ki,ku,ki,kir,ku,kir,ki
,帚,"tsiú,siú",tshiú,"tsiú,tshiú",tshiú,tshiú,tshiú,tsiú,tsiú,tshiú,tshiú
,性,sìnn,sìnn,sìnn,sènn,sènn,sènn,sìnn,sìnn,sìnn,sènn
,斧,póo,póo,póo,phú,póo,póo,póo,póo,póo,póo
,昏,hng,hng,hng,huinn,hng,hng,hng,hng,hng,hng
,果,kér,kér,ké,kué,kué,kué,kér,ké,"kér,ké",kué
,芹,khûn,khîrn,khûn,khîn,khîn,khîn,khûn,khûn,khûn,khûn
,迌,thô,thô,thô,thô,thôr,thôr,thô,thô,thô,thô
,厚,hiō,hiō,hiō,hōo,hōo,hōo,hōo,hiō,hiō,hōo
,後,hiǒ,hiō,hiō,hōo,hiōr,"hōo,hiōr",hōo,hiō,hiō,hiō
,後,hiǒ,hiō,hiō,hōo,hiōr,"hōo,hiōr",hōo,hiō,hiō,hiō
,恨,hūn,hīrn,hūn,hīn,hīn,hīn,hūn,hūn,hūn,hūn
,指,tsńg,tsńg,tsíng,tsíng,tsíng,tsíng,tsńg,tsíng,tsíng
,牲,sinn,sinn,sinn,senn,senn,senn,sinn,sinn,sinn,senn
,玻,po,po,po,po,por,por,po,po,po,po
,相,siunn,siunn,siunn,siunn,sionn,siunn,siunn,siunn,siunn,siunn
,屐,kia̍h,kia̍h,kia̍h,kia̍h,kia̍h,kia̍h,khia̍h,"khia̍h,kia̍h",kia̍h,kia̍h
,徐,sîr,sîr,tshî,tshî,tshî,tshî,sîr,tshî,tshî,tshî
,殊,sîr,sîr,sû,sû,sû,sû,sîr,sû,sû,sû
,矩,kír,kír,kú,kí,kí,kí,kír,kú,"kír,kí",kí
,釘,tan,ting,ting,ting,ting,ting,tan,tan,ting,ting
,參,serm,"sim,som",sim,som,som,sim,sim,"sim,song",sim,som
,參,serm,"sim,som",sim,som,som,sim,sim,"sim,song",sim,som
,帳,tiùnn,tiùnn,tiùnn,tiùnn,tiònn,tiùnn,tiùnn,tiùnn,tiùnn,tiùnn
,掃,sò,sò,sò,sò,sòr,sòr,sò,sò,sò,sò
,曹,tsô,tsô,tsô,tsô,tsôr,tsôr,tsô,tsô,tsô,tsô
,梁,niû,niû,niû,niû,niôo,niû,niû,niû,niû,niû
,莖,huînn,huînn,huâinn,huâinn,huâinn,huâinn,huâinn,huâinn,huâinn,huâinn
,莧,hǐng,hīng,hāng,hīng,hīng,hīng,hīng,"hīng,hāng",hīng,hīng
,處,tshìr,tshìr,tshù,tshù,tshù,tshù,tshìr,tshù,tshù,tshù
,許,hír,hír,hú,hí,hú,hí,hír,hú,"hír,hí",hí
,郭,kerh,kerh,keh,kueh,kueh,kueh,kerh,keh,"kerh,keh",kueh
,媒,hm̂,hm̂,hm̂,muê,"hm̂,muâi",muê,hm̂,hûn,hm̂,muê
,寓,ú,"ú,ù",ú,ú,ú,ú,ú,gū,ú,ú
,晬,tsèr,tsèr,tsè,tsè,tsè,tsè,tsèr,tsè,"tsèr,tsè",tsè
,腔,tshiunn,tshiunn,tshiunn,tshiunn,tshionn,tshiunn,tshiunn,tshiunn,tshiunn,tshiunn
,菠,per,per,pe,pue,pue,pue,per,pe,"per,pe",pue
,萄,tô,tô,tô,tô,tôr,tôr,tô,tô,tô,tô
,鄉,hiunn,hiunn,hiunn,hiunn,hionn,hiunn,hiunn,hiunn,hiunn,hiunn
,鈗,ńg,ńg,ńg,uínn,ńg,ńg,ńg,ńg,ńg,ńg
,陽,iûnn,iûnn,iûnn,iûnn,iônn,iûnn,iûnn,iûnn,iûnn,iûnn
,勤,khûn,khîrn,khûn,khîn,khîn,khîn,khûn,khûn,khûn,khûn
,嗣,sîr,sîr,sû,sû,sû,sû,sîr,sû,sîr,sû
,楝,lǐng,līng,līng,līng,līng,līng,līng,līng,līng,līng
,楹,înn,înn,înn,ênn,ênn,ênn,înn,înn,înn,ênn
,預,ǐr,īr,ū,ī,ī,ī,īr,ū,"īr,ī",ī
,慮,lǐr,līr,lū,lī,lī,lī,līr,lū,"līr,lī",lū
,樑,niû,niû,niû,niû,niôo,niû,niû,niû,niû,niû
,範,huǎn,huān,huān,huān,huān,huān,huān,huān,huān,huān
,蓮,liân,liân,lân,liân,liân,liân,nâi,lân,liân,liân
,課,khèr,khèr,khè,khuè,khuè,khuè,khèr,khè,khìr,khuè
,鄭,tīnn,tīnn,tīnn,tēnn,tēnn,tēnn,tīnn,tīnn,tīnn,tēnn
,鋤,tîr,tîr,tû,tî,tî,tî,tîr,tû,"tîr,tî",tî
,噤,khiūnn,khiūnn,khiūnn,khiūnn,khiōnn,khiūnn,,,khiūnn,khiūnn
,親,tshinn,tshinn,tshinn,tshenn,tshenn,tshenn,tshinn,tshinn,tshinn,tshenn
,謀,biô,biô,môo,môo,"bôo,biôr",môo,bôo,bôo,biô,môo
,頭,thiô,thiô,thiô,thôo,thiôr,thiôr,thôo,thôo,thiô
,頭,thiô,thiô,thiô,thôo,thiôr,thiôr,thôo,thôo,thiô
,鴦,iunn,iunn,iunn,iunn,ionn,iunn,iunn,iunn,iunn,iunn
,嬰,inn,inn,inn,enn,enn,enn,inn,inn,inn,enn
,嶼,sǐr,sīr,sū,sī,sī,sū,sīr,sū,sīr,sū
,戴,tèr,tèr,tè,tè,tè,tè,tèr,tè,"tèr,tè",tè
,糙,tshò,tshò,tshò,tshò,tshòr,tshòr,tshò,tshò,tshò,tshò
,舉,kír,kír,kú,kí,kí,kí,kír,kú,"kír,kí",kí
,螿,tsiunn,"tsiong,tsiunn",tsiunn,tsiunn,tsionn,tsiunn,tsiunn,tsiunn,tsiunn,tsiunn
,謝,siā,"siā,tsiā",siā,siā,tsiā,tsiā,siā,siā,siā
,顎,kok,kok,khok,kok,"kok,khok",kok,khok,khok,kok
,羅,lô,lô,lô,lô,lôr,lôr,lô,lô,lô,lô
,蹬,tinn,tinn,tinn,tenn,tenn,tenn,tinn,tinn,tinn,tenn
,鯧,tshiunn,tshiunn,tshiunn,tshiunn,tshionn,tshiunn,tshiunn,tshiunn,tshiunn,tshiunn
,鑢,luě,lerē,luē,lē,lē,lē,luē,luē,luē,lē
,驚,kinn,kinn,kinn,kenn,kenn,kenn,kinn,kinn,kinn,kenn
,蠶,tshâm,tshâm,tshâm,tshâm,thâm,thâm,tshâm,tshâm,tshâm,tshâm
,蠶,tshâm,tshâm,tshâm,tshâm,thâm,thâm,tshâm,tshâm,tshâm,tshâm
