詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名
,主詞目,山後鳥,suann-āu-tsiáu,禽類,384(1)
,主詞目,也是,iā sī,副詞,385(1)
,主詞目,才是,tsiah-sī,副詞,386(1)
,主詞目,大昨日,tuā-tso̍h--ji̍t/tuā-tso̍h--li̍t,時間節令,387(1)
,主詞目,大某,tuā-bóo,"宗族、家庭,稱謂輩分",388(1)
,主詞目,山洞,suann-tōng,"地理,自然現象",389(1)
,主詞目,三牲,sam-sing,"食物、飲料、煙酒,相關器具、活動",390(1)
,主詞目,三界公,Sam-kài-kong,神明、鬼怪、教派,391(1)
,主詞目,三界娘仔,sam-kài-niû-á,"魚蝦海獸,食物、飲料、煙酒",392(1)
,主詞目,山珍海味,san-tin-hái-bī,食物、飲料、煙酒,393(1)
,主詞目,山苳蒿,suann-tang-o,"蔬果作物,醫療保健,食物、飲料、煙酒",394(1)
,主詞目,低音,kē-im,戲劇、音樂,395(1)
,主詞目,乞食,khit-tsia̍h,地位、身世、背景,396(1)
,主詞目,口面,kháu-bīn,空間方位,397(1)
,主詞目,口音,kháu-im,語言、文字、符號,398(1)
,主詞目,乞食命,khit-tsia̍h-miā,生活狀況,399(1)
,主詞目,大面神,tuā-bīn-sîn,"個性風格,道德評價",400(1)
,主詞目,乞食琴,khit-tsia̍h-khîm,戲劇、音樂,401(1)
,主詞目,乞食頭,khit-tsia̍h-thâu,地位、身世、背景,402(1)
,主詞目,土匪,thóo-huí,地位、身世、背景,403(1)
,主詞目,大厝,tuā-tshù,"生養老死,建築物、結構",404(1)
,主詞目,大哥,tuā-ko,"宗族、家庭,稱謂輩分",405(1)
,主詞目,低厝仔,kē-tshù-á,建築物、結構,406(1)
,主詞目,大娘姑,tuā-niû-koo,"宗族、家庭,稱謂輩分",407(1)
,主詞目,口座,kháu-tsō,錢財資產,408(1)
,主詞目,土師,thóo-sai,地位、身世、背景,409(1)
,主詞目,大孫,tuā-sun,"宗族、家庭,稱謂輩分",410(1)
,主詞目,大家,ta-ke,"宗族、家庭,稱謂輩分",411(1)
,主詞目,子宮,tsú-kiong,生理構造,412(1)
,主詞目,山崁,suann-khàm,"地理,自然現象",413(1)
,主詞目,大家口,tuā-ke-kháu,宗族、家庭,414(1)
,主詞目,大家官,ta-ke-kuann,"宗族、家庭,稱謂輩分",415(1)
,主詞目,子時,tsú-sî,時間節令,416(1)
,主詞目,上桌,tsiūnn-toh,飲食行為,417(1)
,主詞目,口氣,kháu-khì,氣質態度,418(1)
,主詞目,大氣,tāi-khì,天文,419(1)
,主詞目,大氣,tuā-khuì,反應、表情,420(1)
,主詞目,大氣喘,tuā-khuì-tshuán,傷疾病痛,421(1)
,主詞目,干涉,kan-sia̍p,待人處事,422(1)
,主詞目,低級,kē-kip,"地位、身世、背景,性質、程度",423(1)
,主詞目,大陣,tuā tīn,數詞、量詞,424(1)
,主詞目,小鬼仔殼,siáu-kuí-á-khak,休閒、娛樂,425(1)
,主詞目,三除四扣,sann-tû-sì-khàu,錢財資產,426(1)
,主詞目,上崎,tsiūnn-kiā,地理,427(1)
,主詞目,山崙,suann-lūn,"地理,自然現象",428(1)
,主詞目,才情,tsâi-tsîng,才智能力,429(1)
,主詞目,三教,sam-kàu,神明、鬼怪、教派,430(1)
,主詞目,下晝,ē-tàu,時間節令,431(1)
,主詞目,下晡,ē-poo,時間節令,432(1)
,主詞目,小票,sió-phiò,錢財資產,433(1)
,主詞目,三絃,sam-hiân,戲劇、音樂,434(1)
,主詞目,大細,tuā-sè/tuā-suè,"形貌、體積,性質、程度",435(1)
,主詞目,大細心,tuā-sè-sim/tuā-suè-sim,"個性風格,心理狀態,待人處事",436(1)
,主詞目,大細目,tuā-sè-ba̍k/tuā-suè-ba̍k,"生理構造,個性風格,心理狀態,待人處事",437(1)
,主詞目,山頂,suann-tíng,"地理,自然現象",438(1)
,主詞目,工場,kang-tiûnn,科技、工業,439(1)
,主詞目,大富,tuā-pù,生活狀況,440(1)
,主詞目,大寒,tuā-kuânn,"氣候溫度,時間節令",441(1)
,主詞目,大富大貴,tuā-hù-tuā-kuì,,442(1)
,主詞目,大摒掃,tuā-piànn-sàu,生活勞動,443(1)
,主詞目,上殕,tshiūnn-phú,"自然現象,植物形體、狀態,食物、飲料、煙酒",444(1)
,主詞目,下港,ē-káng,"地理,空間方位",445(1)
,主詞目,大港,tuā-káng,地理,446(1)
,主詞目,大湧,tuā-íng,自然現象,447(1)
,主詞目,干焦,kan-na,副詞,448(1)
,主詞目,下痟,hā-siau,"才智能力,傷疾病痛",449(1)
,主詞目,口琴,kháu-khîm,戲劇、音樂,450(1)
,主詞目,工程,kang-tîng,科技、工業,451(1)
,主詞目,工程師,kang-tîng-su,科技、工業,452(1)
,主詞目,上等,siōng-tíng,性質、程度,453(1)
,主詞目,大筒,tuā-tâng,"醫療保健,生活用品",454(1)
,主詞目,小等,sió-tán,一般動詞-靜態動詞,455(1)
,主詞目,土菝仔,thóo-pua̍t-á,"蔬果作物,醫療保健,食物、飲料、煙酒",456(1)
,主詞目,上訴,siōng-sòo,法律,457(1)
,主詞目,大量,tāi-liōng,,458(1)
,主詞目,弓開,king--khui,性質、程度,459(1)
