詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名
,主詞目,了錢,liáu-tsînn,錢財資產,154(1)
,主詞目,人頭,lâng-thâu,"生理構造,交際應酬,數詞、量詞",155(1)
,主詞目,力頭,la̍t-thâu,才智能力,156(1)
,主詞目,入殮,ji̍p-liām/li̍p-liām,"生養老死,婚喪喜慶",157(1)
,主詞目,入聲,ji̍p-siann/li̍p-siann,語言、文字、符號,158(1)
,主詞目,刁難,thiau-lân,"心理狀態,待人處事",159(1)
,主詞目,人權,jîn-khuân/lîn-khuân,法律,160(1)
,主詞目,丈,【白】tn̄g,數詞、量詞,161(1)
,主詞目,三,【文】sam,數詞、量詞,162(1)
,主詞目,三,【白】sann,數詞、量詞,163(1)
,主詞目,上,【白】tsiūnn,肢體動作,164(1)
,主詞目,上,【白】tshiūnn,肢體動作,165(1)
,主詞目,上,【文】siōng,"空間方位,性質、程度,副詞",166(1)
,主詞目,下,【白】ē,"空間方位,性質、程度,數詞、量詞",167(1)
,主詞目,下,【文】hā,"空間方位,性質、程度,數詞、量詞",168(1)
,主詞目,下,【白】hē,心理活動,169(1)
,主詞目,低【替】,kē,"空間方位,地位、身世、背景,才智能力,性質、程度",170(1)
,主詞目,个,ê,"代名詞,數詞、量詞",171(1)
,主詞目,丸,uân,"事、物泛稱,數詞、量詞",172(1)
,主詞目,久,【白】kú,"時間節令,性質、程度",173(1)
,主詞目,么,io,數詞、量詞,174(1)
,主詞目,乞,khit,交際應酬,175(1)
,主詞目,也,iā,連詞、介詞,176(1)
,主詞目,亡,bông,生養老死,177(1)
,主詞目,凡,huân,事、物泛稱,178(1)
,主詞目,凡,huān,副詞,179(1)
,主詞目,千,【文】tshian,"性質、程度,數詞、量詞",180(1)
,主詞目,千,【白】tshing,"性質、程度,數詞、量詞",181(1)
,主詞目,叉,tshe,"待人處事,事、物泛稱",182(1)
,主詞目,口,【白】kháu,"生理構造,建築物、結構,數詞、量詞",183(1)
,主詞目,土,thóo,"地理,資源礦物,個性風格,氣質態度",184(1)
,主詞目,士,sū,相關用語,185(1)
,主詞目,大【替】,ta,語言、文字、符號,186(1)
,主詞目,大,【文】tāi,形貌、體積,187(1)
