漢字,羅馬字,建議順序,類型
前,tsâinn,,白
垂,suî,,文
垂,suê,,白
城,siânn,,白
城,sîng,,文
封,hong,,文
封,pang,,白
待,thāi,,文
待,tāi,,白
思,su,,文
思,sù,,文
思,si,,白
恨,hūn,,文
恨,hīn,,文
指,tsí,,文
指,kí,,白
星,sing,,文
星,tshenn,,白
星,tshinn,,白
枴,kuái,,文
枴,kuáinn,,白
染,jiám,,文
染,liám,,文
染,giám,,文
染,ní,,白
毒,to̍k,,文
毒,thāu,,白
泉,tsuânn,,白
泉,tsuân,,文
流,liû,,文
流,lâu,,白
相,siong,,文
相,siang,,文
相,siòng,,文
相,siàng,,文
相,siunn,,白
相,sionn,,白
相,siùnn,,白
相,siònn,,白
眉,bî,,文
眉,bâi,,白
看,khàn,,文
看,khuànn,,白
看,khan,,文
紅,hông,,文
紅,âng,,白
胎,thai,,文
胎,the,,白
計,kè,,文
計,kì,,白
郎,lông,,文
郎,nn̂g,,白
重,tiông,,文
重,tiōng,,文
重,tîng,,白
重,tāng,,白
限,hān,,文
限,ān,,白
面,biān,,文
面,bīn,,白
飛,hui,,文
飛,pue,,白
飛,pe,,白
食,si̍t,,文
食,tsia̍h,,白
值,ti̍t,,文
值,ta̍t,,白
凍,tòng,,文
凍,tàng,,白
員,uân,,文
員,guân,,又
員,înn,,白
夏,hā,,文
夏,hē,,白
宮,kiong,,文
宮,king,,白
家,ka,,文
家,ke,,白
差,tsha,,文
差,tshe,,白
師,su,,文
師,sai,,白
恩,un,,文
恩,in,,文
書,su,,文
書,si,,文
書,tsu,,白
桃,thô,,文
桃,tô,,白
框,khong,,文
框,khing,,白
案,àn,,文
案,uànn,,白
氣,khì,,文
氣,khuì,,白
留,liû,,文
留,lâu,,白
破,phò,,文
破,phòo,,文
破,phuà,,白
缺,khuat,,文
缺,khueh,,白
缺,kheh,,白
缺,khih,,白
茫,bông,,文
茫,bâng,,白
草,tshó,,文
草,tshóo,,文
草,tsháu,,白
陣,tsūn,,文
陣,tīn,,白
除,tû,,文
除,tî,,文
馬,má,,文
馬,bé,,白
乾,khiân,,文
乾,kan,,文
乾,kuann,,白
假,ká,,文
假,kà,,文
假,ké,,白
假,kè,,白
偏,phian,,文
偏,phinn,,白
動,tōng,,文
動,tāng,,白
唱,tshiòng,,文
唱,tshiàng,,文
唱,tshiùnn,,白
唱,tshiònn,,白
唱,tshiò,,白
堂,tông,,文
堂,tn̂g,,白
婦,hū,,文
婦,pū,,白
帶,tài,,文
帶,tuà,,白
得,tit,,白
得,tik,,文
從,tsiông,,文
從,tshiong,,文
從,tsîng,,白
從,tsn̂g,,白
情,tsîng,,文
情,tsiânn,,白
捷,tsia̍t,,白
捷,tsia̍p,,文
掛,kuà,,文
掛,khuà,,白
接,tsiap,,文
接,tsih,,白
推,thui,,文
推,tshui,,文
推,the,,白
教,kàu,,文
教,kà,,白
望,bōng,,文
望,bāng,,白
涼,liông,,文
涼,liâng,,文
涼,niû,,白
涼,niôo,,白
淺,tshián,,文
淺,khín,,白
添,thiam,,文
添,thinn,,白
清,tshing,,文
清,tshinn,,白
爽,sóng,,文
爽,sńg,,白
猛,bíng,,文
猛,mé,,白
疏,soo,,文
疏,sòo,,文
疏,se,,白
疏,sue,,白
盒,a̍p,,文
盒,a̍h,,白
眼,gán,,文
眼,gíng,,白
章,tsiong,,文
章,tsiang,,文
章,tsiunn,,白
章,tsionn,,白
紮,tsat,,文
紮,tsah,,白
脫,thuat,,文
脫,thuah,,白
被,pī,,文
被,phuē,,白
被,phē,,白
販,huàn,,文
販,phuànn,,白
通,thong,,文
通,thang,,白
連,liân,,文
連,nî,,白
陰,im,,文
陰,iam,,白
雪,suat,,文
雪,seh,,白
壺,hôo,,文
壺,ôo,,白
惱,lóo,,文
惱,ló,,文
惱,náu,,白
掌,tsióng,,文
掌,tsiáng,,文
掌,tsiúnn,,白
掌,tsiónn,,白
插,tshap,,文
插,tshah,,白
敢,kám,,文
敢,kánn,,白
散,sán,,文
散,sàn,,文
散,suánn,,白
散,suànn,,白
棟,tòng,,文
棟,tàng,,白
款,khuán,,文
款,khuánn,,白
發,huat,,文
發,puh,,白
窗,tshong,,文
窗,thang,,白
童,tông,,文
童,tâng,,白
等,tíng,,文
等,tán,,白
結,kiat,,文
結,kat,,白
絕,tsua̍t,,文
絕,tse̍h,,白
脹,tiòng,,文
脹,tiàng,,文
脹,tiùnn,,白
脹,tiònn,,白
腎,sīn,,文
腎,siān,,白
菊,kiok,,文
菊,kak,,白
買,mái,,文
買,bé,,白
買,bué,,白
貼,thiap,,文
貼,tah,,白
量,liông,,文
量,liōng,,文
量,liâng,,文
量,liāng,,文
量,niû,,白
量,niôo,,白
量,niū,,白
量,niōo,,白
開,khai,,文
開,khui,,白
間,kan,,文
間,king,,白
間,kainn,,白
間,kàn,,文
陽,iông,,文
陽,iâng,,文
陽,iûnn,,白
陽,iônn,,白
雄,hiông,,文
雄,iông
雄,hîng,,白
亂,luān,,文
亂,lān,,白
傳,thuân,,文
傳,tuān,,文
傳,thn̂g,,白
傳,thuînn,,白
傷,siong,,文
傷,siang,,文
傷,siunn,,白
傷,sionn,,白
勢,sè,,文
勢,sì,,白
想,sióng,,文
想,siáng,,文
想,siūnn,,白
想,siōnn,,白
損,sún,,文
損,sńg,,白
損,suínn,,白
歲,suè,,文
歲,huè,,白
歲,hè,,白
煎,tsian,,文
煎,tsuann,,白
照,tsiàu,,文
照,tsiò,,白
節,tsiat,,文
節,tsat,,白
節,tseh,,白
