漢字,羅馬字,建議順序,類型
會,kuè,,不標
椰,iâ,,不標
楠,lâm,,不標
楦,huàn,,文
楦,hùn,,白
業,gia̍p,,不標
歇,hiat,,文
歇,hat,,文
歇,hioh,,白
毀,huí,,不標
準,tsún,,不標
溜,liu,,不標
溢,ik,,不標
溪,khe,,文
溪,khue,,白
滅,bia̍t,,不標
滑,ku̍t,,不標
煙,ian,,不標
煠,ia̍p,,文
煠,sa̍h,,白
煩,huân,,不標
爺,iâ,,不標
獅,su,,文
獅,sai,,白
痰,thâm,,不標
痲,bâ,,文
痲,muâ,,白
矮,ái,,文
矮,é,,白
矮,ué,,白
碎,tshuì,,不標
碑,pi,,不標
碗,uán,,文
碗,uánn,,白
碰,pōng,,不標
碰,phòng,,不標
禁,kìm,,不標
稗,pāi,,文
稗,phē,,白
稗,phuē,,白
稟,pín,,不標
窟,khut,,不標
絹,kuàn,,文
絹,kìn,,白
群,kûn,,不標
義,gī,,不標
聘,phìng,,不標
腡,lô,,文
腡,lôo,,文
腡,lê,,白
腫,tsióng,,文
腫,tsíng,,白
萬,bān,,不標
葩,pha,,不標
葬,tsòng,,不標
蒂,tè,,文
蒂,tì,,白
號,hō,,不標
蜊,lî,,文
蜊,lâ,,不標
裒,pôo,,不標
裒,piô
裘,kiû,,文
裘,hiû,,不標
裙,kûn,,不標
補,póo,,不標
裡,lí,,不標
試,sì,,文
試,tshì,,白
詩,si,,不標
話,huā,,文
話,uā,,文
話,uē,,白
該,kai,,不標
詼,khue,,文
詼,khe,,白
趒,tiâu,,文
趒,tiô,,白
跟,kin,,不標
跟,kun,,不標
跤,khau,,文
跤,kha,,不標
跪,kuī,,不標
路,lōo,,不標
跳,thiàu,,不標
載,tsài,,不標
載,tsáinn,,不標
載,tsái
載,tsāi
農,lông,,不標
逼,pik,,不標
遇,gū,,不標
遇,gī
遊,iû,,不標
遏,at,,不標
道,tō,,不標
道,tōo
鈴,lîng,,不標
鉎,sing,,文
鉎,sian,,白
鉎,san,,白
鉛,iân,,不標
鉤,koo,,文
鉤,kio,,文
鉤,kau,,白
銃,tshiòng,,文
銃,tshìng,,白
閘,tsa̍p,,文
閘,tsa̍h,,白
雷,luî,,不標
雹,pa̍k,,文
雹,pha̍uh,,白
雺,bông,,不標
電,tiān,,不標
靴,hia,,不標
飼,sū,,文
飼,tshī,,白
髡,khun,,不標
鼓,kóo,,不標
嗽,sòo,,文
嗽,siò,,文
嗽,sàu,,白
嘆,thàn,,不標
圖,tôo,,不標
團,thuân,,不標
境,kíng,,不標
墊,tiām,,不標
墓,bōo,,文
墓,bōng,,白
壽,siū,,不標
奪,tua̍t,,不標
寡,kuá,,不標
寡,kuánn
寨,tsē,,不標
對,tuì,,不標
幕,bōo,,文
幕,bo̍k,,文
廕,ìm,,不標
慘,tshám,,不標
慢,bān,,不標
摔,siak,,不標
摔,sak
摧,tshui,,不標
摸,bôo,,文
摸,bo̍k,,文
摸,bong,,不標
摸,boo,,不標
摺,tsiap,,文
摺,tsih,,白
摻,tsham,,不標
撇,phiat,,不標
敲,khau,,不標
斡,uat,,不標
旗,kî,,不標
暝,bîng,,文
暝,mê,,白
暝,mî,,白
暢,thiòng,,不標
暢,thiàng
榫,sún,,不標
槌,thuî,,不標
槍,tshiong,,文
槍,tshiang,,文
槍,tshiunn,,白
槍,tshionn,,白
槓,kòng,,文
槓,kǹg,,白
滲,sìm,,文
滲,siàm,,白
滷,lóo,,不標
滾,kún,,不標
漆,tshik,,文
漆,tshat,,白
演,ián,,不標
漚,oo,,文
漚,òo,,文
漚,io,,文
漚,iò,,文
漚,au,,白
漚,àu,,白
漢,hàn,,不標
熁,hia̍p,,文
熁,hiap,,文
熁,hannh,,不標
熄,sik,,文
熄,sit,,白
熊,hiông,,文
熊,hîm,,白
疑,gî,,不標
盡,tsīn,,不標
碳,thàn,,文
碳,thuànn,,白
福,hok,,不標
箍,khoo,,不標
箔,po̍h,,不標
箸,tī,,不標
箸,tū,,不標
粽,tsòng,,文
粽,tsàng,,白
粿,kó,,文
粿,kóo,,文
粿,kué,,白
粿,ké,,白
綴,tuat,,文
綴,tuè,,白
綴,tè,,白
綵,tshái,,不標
綹,liú,,不標
緊,kín,,不標
罰,hua̍t,,不標
腿,thuí,,不標
膎,hâi,,文
膎,kê,,白
膎,kuê,,白
膏,ko,,文
膏,koo,,文
舞,bú,,不標
蒜,suàn,,文
蒜,sǹg,,白
蓆,si̍k,,文
蓆,tshio̍h,,白
蜜,bi̍t,,不標
裾,ki,,不標
裾,ku,,不標
認,jīn,,不標
認,līn,,不標
認,gīn
誘,iú,,不標
誡,kài,,不標
誤,gōo,,不標
賒,sia,,不標
趕,kuánn,,不標
踅,thè,,文
踅,sua̍t,,文
踅,se̍h,,白
辣,lua̍t,,文
辣,lua̍h,,白
鄙,phí,,不標
酵,kàu,,文
酵,kànn,,白
酵,kà,,白
鉸,kau,,文
鉸,ka,,白
銀,gîn,,不標
銀,gûn,,不標
銅,tông,,文
銅,tâng,,白
銬,khàu,,不標
閣,koh,,白
閣,kok,,文
隙,khik,,文
隙,khiah,,白
餅,píng,,文
餅,piánn,,白
餌,jī,,不標
餌,lī,,不標
餌,gī
魂,hûn,,不標
鳳,hōng,,不標
鼻,pī,,文
鼻,phīnn,,白
鼻,phī,,白
齊,tsê,,文
齊,tsuê,,白
億,ik,,不標
儉,khiām,,不標
劍,kiàm,,不標
嘹,liâu,,不標
噗,pho̍k,,不標
墜,tuī,,不標
嬌,kiau,,不標
審,sím,,不標
寫,siá,,不標
寮,liâu,,不標
層,tsîng,,文
層,tsân,,白
幡,huan,,不標
廟,biāu,,文
廟,biō,,白
廠,tshióng,,文
廠,tshiáng,,文
廠,tshiúnn,,白
廠,tshiónn,,白
廢,huè,,文
廢,huì,,不標
德,tik,,不標
憂,iu,,不標
撏,sîm,,文
撏,jîm,,不標
撏,lîm,,不標
撏,gîm
撐,thing,,文
撐,the,,白
撐,thenn,,白
撚,lián,,不標
撞,tōng,,不標
播,pòo,,不標
播,pò
暫,tsiām,,不標
槳,tsióng,,文
槳,tsiáng,,文
槳,tsiúnn,,白
槳,tsiónn,,白
槽,tsô,,不標
槽,tsôo
樂,lo̍k,,文
樂,ga̍k,,文
樂,ngāu,,文
樓,lôo,,文
樓,liô,,文
樓,lâu,,白
模,bôo,,不標
潤,jūn,,不標
潤,lūn,,不標
潭,thâm,,不標
熨,ut,,不標
熬,gô,,文
熬,ngôo,,文
熬,ngâu,,白
獎,tsióng,,文
獎,tsiáng,,文
瘤,liû,,不標
磅,phong,,文
磅,pōng,,不標
磕,khap,,文
磕,kha̍p,,不標
稿,kó,,不標
窯,iâu,,文
窯,iô,,白
箬,jio̍k,,文
箬,lio̍k,,文
箬,gio̍k,,文
箬,ha̍h,,白
糋,tsiàn,,文
糋,tsìnn,,白
線,sàn,,文
線,suànn,,白
緣,iân,,不標
緩,uān,,不標
練,liān,,不標
罷,pā,,不標
膚,hu,,不標
膜,bo̍k,,文
膜,mo̍oh,,白
膠,kau,,文
膠,ka,,白
舖,phòo,,不標
蔗,tsià,,不標
蔥,tshong,,文
蔥,tshang,,白
蔭,ìm,,不標
蝦,hâ,,文
蝦,hê,,白
蝨,sik,,文
蝨,sat,,白
衝,tshiong,,不標
褒,po,,不標
褒,poo
褙,puè,,文
褙,pè,,白
調,tiâu,,不標
調,tiāu,,不標
談,tâm,,不標
論,lūn,,不標
豬,tsu,,文
豬,tsi,,文
豬,ti,,白
豬,tu,,白
賜,sù,,不標
賠,puê,,文
賠,pê,,白
賢,hiân,,不標
賤,tsiān,,不標
質,tsit,,不標
賭,tóo,,不標
輦,lián,,不標
輩,puè,,不標
輪,lûn,,不標
遮,tsia,,文
遮,jia,,白
遮,lia,,白
遷,tshian,,不標
鄰,lîn,,不標
醃,iam,,文
醃,am,,不標
醉,tsuì,,不標
醋,tshòo,,不標
銷,siau,,不標
鋪,phoo,,不標
霆,tîng,,文
霆,tân,,不標
靠,khò,,不標
靠,khòo
餓,gō,,不標
餓,ngōo
鬧,nāu,,不標
鬧,lāu,,不標
魄,phik,,不標
魯,lóo,,不標
齒,tshí,,文
齒,khí,,白
凝,gîng,,不標
器,khì,,不標
壅,iòng,,文
壅,ìng,,白
憲,hiàn,,不標
懍,lún,,不標
戰,tsiàn,,不標
擂,luî,,不標
擇,ti̍k,,文
擇,to̍h,,不標
擒,khîm,,不標
據,kì,,不標
據,kù,,不標
整,tsíng,,不標
橛,khuat,,文
橛,kua̍t,,文
橛,kue̍h,,不標
歕,phun,,文
歕,pûn,,不標
激,kik,,不標
燈,ting,,不標
燉,tun,,文
燉,tūn,,不標
燒,siau,,文
燒,sio,,白
燙,tōng,,文
燙,thǹg,,不標
甌,oo,,文
甌,io,,文
甌,au,,白
瘸,kâ,,文
瘸,khuê,,白
瘸,khê,,白
瞞,buân,,文
瞞,muâ,,白
積,tsik,,不標
篙,ko,,不標
篡,tshuàn,,不標
篩,sai
篩,thai,,不標
糕,ko,,不標
糕,koo
糖,tông,,文
糖,thn̂g,,白
縛,po̍k,,文
縛,pa̍k,,白
縣,hiān,,文
縣,kuān,,白
縣,kuāinn,,白
縣,kuīnn,,白
興,hing,,不標
興,hìng,,不標
興,hin
興,hìn
蕊,luí,,不標
褪,thùn,,文
褪,thǹg,,白
褫,thí,,不標
褲,khòo,,不標
謔,hiok,,文
謔,gio̍h,,白
謔,giok,,白
貓,biâu,,文
貓,niau,,白
貓,bâ,,白
蹁,phiân,,文
蹁,pian,,文
蹁,phîn,,不標
蹄,tê,,文
蹄,tuê,,白
輸,su,,不標
辦,piān,,文
辦,pān,,白
選,suán,,不標
鋸,kì,,不標
鋸,kù,,不標
錶,piáu,,文
錶,pió,,白
閹,iam,,不標
隨,suî,,不標
險,hiám,,不標
雕,tiau,,不標
鞘,siàu,,文
鞘,siù,,白
頷,hám,,文
頷,hâm,,文
頷,ām,,白
餡,hām,,文
餡,ānn,,白
館,kuán,,不標
髻,kuè,,不標
髻,kè,,不標
鴨,ap,,文
鴨,ah,,白
幫,pang,,文
幫,png,,白
戲,hì,,不標
擘,phik,,文
擘,peh,,白
擦,tshat,,不標
檔,tòng,,文
澀,sip,,文
澀,siap,,白
溼,sip,,不標
燥,sò,,不標
燥,sòo
牆,tshiông,,文
牆,tshiâng,,文
牆,tshiônn,,白
癌,gâm,,不標
瞪,tîng,,文
瞪,tìng,,文
瞪,tènn,,白
瞪,tìnn,,白
禪,siân,,不標
禪,siān,,不標
穗,suī,,不標
糜,bî,,文
糜,muê,,白
糜,bê,,白
糜,muâi,,白
糜,mâi,,白
繃,ping,,文
繃,penn,,白
繃,pinn,,白
聯,liân,,不標
臨,lîm,,文
臨,liâm,,白
薅,ho,,文
薅,hoo,,文
薅,khau,,白
薑,kiong,,文
薑,kiang,,文
薑,kiunn,,白
薑,kionn,,白
薟,liâm,,文
薟,hiam,,不標
觳,khok,,不標
輾,tián,,文
輾,liàn,,不標
錘,thuî,,不標
錘,suî
鍊,liān,,不標
鍋,ko,,文
鍋,ue,,白
鍋,e,,白
鍥,khiat,,文
鍥,keh,,白
鍥,kueh,,白
闊,khuat,,文
闊,khuah,,白
隱,ún,,不標
黏,liâm,,不標
點,tiám,,不標
壘,luí,,不標
壙,khòng,,不標
戳,tsho̍k,,文
戳,thok,,不標
擺,pái,,不標
櫃,kuī,,不標
歸,kui,,不標
濾,lī,,不標
濾,lū
瀉,sià,,不標
甓,phi̍k,,文
甓,phia̍h,,白
甕,òng,,文
甕,àng,,白
癖,phik,,文
癖,phiah,,白
癖,phia̍h,,白
禮,lé,,不標
簫,siau,,不標
糧,liông,,文
糧,liâng,,文
糧,niû,,白
糧,niôo,,白
織,tsit,,不標
繡,siù,,不標
翹,khiàu,,不標
翻,huan,,不標
職,tsit,,不標
薰,hun,,不標
薸,phiâu,,文
薸,phiô,,白
蟬,siân,,不標
蟯,giâu,,文
蟯,jiâu,,文
蟯,liâu,,文
蟯,giô,,白
蟳,sîm,,文
蟳,tsîm,,白
軀,khu,,文
軀,su,,白
醫,i,,不標
醬,tsiòng,,文
醬,tsiàng,,文
醬,tsiùnn,,白
醬,tsiònn,,白
鎖,só,,不標
鎖,sóo
鎮,tìn,,不標
雙,siang,,白
雙,sang,,白
雙,song,,文
雜,tsa̍p,,不標
雞,ke,,文
雞,kue,,白
離,lî,,不標
離,lī,,不標
題,tê,,文
題,tuê,,白
顏,gân,,不標
颺,iông,,文
颺,iâng,,文
颺,tshiûnn,,白
颺,tshiônn,,白
颺,iānn,,不標
餾,liū,,不標
餾,liû,,不標
鬃,tsong,,文
鬃,tsang,,白
鯽,tsik,,文
鯽,tsit,,白
攀,phan,,不標
攏,lóng,,文
攏,láng,,白
櫓,lóo,,不標
櫥,tû,,不標
瀨,lāi,,文
瀨,nāi,,文
瀨,luā,,白
礙,gāi,,不標
穩,ún,,不標
簸,pò,,文
簸,pòo,,文
簸,puà,,不標
簽,tshiam,,不標
簿,phōo,,文
簿,po̍k,,文
繳,kiáu,,不標
藝,gē,,文
藝,guē,,白
蟶,tshing,,文
蟶,than,,白
證,tsìng,,不標
證,tsìn
識,sik,,不標
識,sit
譜,phóo,,不標
鏡,kìng,,文
鏡,kiànn,,白
鏢,phiau,,文
鏢,piau,,文
鏢,pio,,白
難,lān,,不標
難,lân,,不標
霧,bū,,不標
韻,ūn,,不標
願,guān,,不標
類,luī,,不標
騙,phiàn,,不標
鬍,hôo,,不標
麴,kiok,,文
麴,khiok,,文
麴,khak,,白
嚴,giâm,,不標
嚷,jiáng,,不標
嚷,lióng,,不標
嚷,giáng
寶,pó,,不標
寶,póo
瀳,tsiân,,文
瀳,tshînn,,不標
爐,lôo,,不標
獻,hiàn,,不標
礤,tshat,,文
礤,tshuah,,不標
礦,khòng,,不標
礬,huân,,不標
蠓,bóng,,文
蠓,báng,,白
辮,piān,,文
辮,pīnn,,白
鐘,tsiong,,文
鐘,tsing,,白
飄,phiau,,不標
饒,jiâu,,不標
鰓,su,,文
鰓,sai,,文
鰓,tshi,,白
鹹,hâm,,文
鹹,kiâm,,白
黨,tóng,,文
黨,táng,,白
齣,tshut,,不標
嚾,huan,,文
嚾,uang,,白
攝,liap,,不標
櫼,tsiam,,文
櫼,tsinn,,白
灌,kuàn,,不標
蘭,lân,,不標
辯,piān,,不標
露,lōo,,不標
霸,pà,,不標
響,hióng,,文
響,hiáng,,文
顧,kòo,,不標
囉,lô,,文
囊,lông,,不標
彎,uan,,不標
攢,tsuan,,文
攢,tsuàn,,文
欉,tsōng,,文
欉,tsâng,,不標
權,kuân,,文
權,khuân,,俗
灘,than,,文
灘,thuann,,白
癬,sián,,不標
贖,sio̍k,,不標
鑄,tsù,,不標
鰱,liân,,不標
鰻,bân,,文
鰻,muâ,,白
鰾,piáu,,文
鰾,piō,,白
攪,kiáu,,不標
籤,tshiam,,不標
驗,giām,,不標
鱖,kuè,,不標
鱖,kè,,不標
攬,lám,,不標
罐,kuàn,,不標
讖,tshàm,,不標
靈,lîng,,不標
鱟,hāu,,不標
鷹,ing,,不標
鹽,iâm,,文
鹽,iām,,文
灣,uan,,不標
襻,phàn,,不標
鑱,tshâm,,文
驢,lî,,不標
驢,lû,,不標
鬮,khiu,,文
鬮,khau,,白
鑼,lô,,不標
鑼,lôo
鱸,lôo,,不標
戇,gōng,,不標
鬱,ut,,不標
贌,pa̍k,,不標
㨂,tòng,,文
㨂,tàng,,白
䀐,siam,,不標
㾀,khiap,,不標
𠢕,gâu,,不標
𨂿,uáinn,,不標
𡳞,līn,,文
𡳞,lān,,白
𥰔,phín,,不標
䘼,uán,,文
䘼,ńg,,白
䘼,uínn,,白
䆀,bái,,不標
𣛮,siānn,,不標
𪐞,tòo,,不標
𤲍,kheh,,不標
𤲍,khueh,,不標
𦊓,lîng,,不標
䖳,thē,,不標
𩸙,tāi,,不標
𣁳,khat,,不標
㨻,tsānn,,不標
,gàn,,不標
,siāng,,不標
腥,sing,,文
腥,tshenn,,白
腥,tshinn,,白
腥,tshènn,,白
腥,tshìnn,,白
嫣,ian,,不標
託,thok,,不標
湢,pik,,文
湢,pih,,白
麭,phàu,,文
宕,tōng,,文
宕,thōng,,白
郊,kau,,不標
喊,hám,,文
喊,hán,,白
摁,hmh,,不標
嗺,sui,,不標
噸,tùn,,文
簇,tshok,,不標
蹓,lau,,不標
川,tshuan,,不標
已,í,,不標
云,ûn,,不標
云,în
互,hōo,,不標
介,kài,,不標
元,guân,,不標
勿,bu̍t,,不標
及,ki̍p,,不標
夭,iáu,,不標
夭,iau
屯,tūn,,不標
屯,tûn
屯,tun
巴,pa,,不標
幻,huàn,,不標
弔,tiàu,,不標
曰,ua̍t,,不標
歹,tái,,不標
爻,ngâu,,不標
爻,gâu
犬,khián,,不標
且,tshiánn,,不標
仔,á,,訓
仔,tsú,,文
他,tha
他,thann,,不標
他,tô
他,tôo
仗,tiōng,,不標
仗,tiāng
仟,tshian,,不標
充,tshiong,,不標
匆,tshong,,不標
另,līng,,不標
召,tiàu,,不標
叭,phuat,,文
右,iū,,不標
孕,īn,,不標
尼,nî,,不標
尼,lî,,不標
左,tsó,,不標
巨,kī,,不標
巨,kū,,不標
弘,hông,,不標
必,pit,,不標
扑,phok,,不標
斥,thik,,不標
札,tsat,,不標
永,íng,,不標
玄,hiân,,不標
田,tiân,,文
田,tshân,,訓
矛,mâu,,文
矛,bâu,,文
矢,sí,,不標
禾,hô,,不標
丟,tiu,,不標
乩,ki,,不標
仰,gióng,,不標
仲,tiōng,,不標
仵,ngóo,,不標
企,khì,,不標
伍,ngóo,,不標
伏,ho̍k,,不標
伙,hué,,不標
伙,hé,,不標
兇,hiong,,不標
劣,lua̍t,,不標
劣,luat
危,guî,,不標
吋,tshùn,,不標
吏,lī,,不標
圭,ke
圭,kui,,不標
夷,î,,不標
妄,bōng,,不標
宇,ú,,不標
宇,í
忖,tshún,,不標
旨,tsí,,不標
旬,sûn,,不標
旭,hiok,,不標
朴,phok,,文
朴,phoh,,白
朽,hiú,,不標
汙,u,,文
汙,ù,,文
灰,hue,,文
灰,he,,白
羽,ú,,不標
羽,í
而,jî,,不標
而,lî,,不標
而,gî
肋,li̍k,,不標
肌,ki,,不標
至,tsì,,不標
臼,kiū,,文
臼,khū,,白
舟,tsiu,,不標
亨,hing,,不標
伶,lîng,,文
佃,tiān,,不標
但,tān,,文
但,nā,,白
但,niā,,白
住,tsū,,不標
佐,tsò,,不標
佐,tsòo
佑,iū,,不標
冶,iá,,不標
刪,san,,不標
努,lóo,,不標
即,tsik,,不標
吝,līn,,不標
否,hónn,,不標
否,phí,,不標
吳,ngôo,,不標
吳,gôo
吻,bún,,不標
吾,ngôo,,不標
呈,thîng,,不標
呈,tîng
困,khùn,,不標
圾,sap,,不標
址,tsí,,不標
均,kin,,不標
均,kun,,不標
壯,tsòng,,不標
妍,giân,,文
妍,gian,,文
妒,tòo,,不標
妓,kī,,文
妓,ki,,不標
妥,thò,,不標
妨,hông,,不標
孜,tsu,,不標
宏,hông,,不標
希,hi,,不標
庇,pì,,不標
廷,tîng,,不標
彷,hóng,,不標
忤,ngóo,,不標
忤,gōo
戒,kài,,不標
扼,ik,,文
扼,i̍k,,不標
抗,khòng,,不標
杉,sam,,不標
杜,tōo,,不標
杞,kí,,不標
決,kuat,,不標
汽,khì,,不標
沈,sím,,不標
沌,tūn,,不標
沐,bo̍k,,不標
沒,bu̍t,,不標
沛,phài,,不標
灸,kiù,,文
灸,kù,,白
牡,bóo,,不標
甫,hú,,不標
町,tíng,,文
町,ting,,不標
秀,siù,,不標
究,kiù,,不標
肓,hong,,文
肓,bông,,不標
肖,siàu,,不標
肘,tiú,,不標
肛,kong,,不標
育,io̍k,,不標
良,liông,,不標
良,liâng
芍,tsiok,,不標
芍,tsiak
芎,kiong,,不標
谷,kok,,不標
豸,tí,,文
豸,tsāi,,文
豸,thuā,,白
貝,puè,,不標
迅,sìn,,不標
邑,ip,,不標
邦,pang,,不標
阮,guán,,文
阮,uán,,文
阮,ńg,,白
阮,uínn,,白
乳,jú,,不標
乳,lú,,不標
乳,jí
享,hiáng,,不標
享,hióng,,不標
佩,puē,,不標
佬,liâu,,文
佳,ka,,不標
併,pìng,,不標
依,i,,不標
兒,jî,,不標
兒,lî,,不標
兒,gî
函,hâm,,不標
刮,kuat,,不標
刷,suat,,不標
卑,pi,,不標
協,hia̍p,,文
周,tsiu,,不標
咍,hai,,不標
咎,kiū,,不標
咐,hù,,不標
咖,ka,,不標
固,kòo,,不標
坡,pho,,不標
坡,phoo
坤,khun,,不標
坷,khó,,文
坷,khónn,,文
奉,hōng,,不標
奔,phun,,不標
妮,nî,,不標
妲,thán,,不標
妲,tat
姐,tsiá,,不標
姒,sū,,文
姒,sāi,,白
委,uí,,不標
孟,bīng,,不標
宗,tsong,,不標
宙,tiū,,不標
宛,uán,,不標
宜,gî,,不標
岡,kong,,不標
岳,ga̍k,,不標
帙,tia̍t,,不標
帚,tshiú,,不標
帚,tsiú
弦,hiân,,不標
弧,hôo,,不標
彼,pí,,不標
彿,hut,,不標
征,tsing,,不標
忽,hut,,不標
忿,hún,,不標
怕,phà,,不標
怕,phànn
怖,pòo,,不標
怡,î,,不標
怯,khiap,,不標
或,hi̍k,,不標
戾,lē,,不標
拇,bóo,,文
拇,bú,,白
拇,bó,,白
拓,thok,,不標
拘,khu,,不標
拘,khi
拙,tsuat,,不標
於,u
於,i
於,û
於,î,,不標
昂,gông,,不標
昆,khun,,不標
昇,sing,,不標
昊,hō,,不標
昊,hōo
昌,tshiong,,不標
昌,tshiang
昔,sik,,不標
朋,pîng,,不標
杭,hâng,,不標
杭,hông
杰,kia̍t,,不標
杵,tshú,,文
杵,tshí,,文
杵,thú,,不標
杷,pâ,,文
杷,pê,,白
枉,óng,,不標
析,sik,,不標
枕,tsím,,不標
欣,him,,不標
歧,kî,,不標
沓,ta̍p,,不標
沸,huì,,不標
況,hóng,,不標
泄,siat,,不標
泊,po̍k,,不標
泊,phik,,不標
泌,pì,,不標
泓,hông,,不標
泛,huàn,,不標
泣,khip,,不標
泥,nî,,不標
泱,iong,,不標
泱,iang
泳,īng,,不標
牧,bo̍k,,不標
狎,a̍p,,不標
狐,hôo,,不標
玫,muî,,不標
的,tik,,不標
秉,píng,,不標
穹,kiong,,不標
竺,tiok,,不標
肴,ngâu,,不標
臥,ngōo,,不標
臥,gō
舍,sià,,不標
舍,siá
芝,tsi,,不標
芡,khiàm,,不標
芬,hun,,不標
芭,pa,,不標
芷,tsí,,不標
芹,khîn,,不標
芹,khûn,,不標
虱,sat,,不標
虱,sik
返,huán,,不標
邸,tí,,不標
采,tshái,,不標
阻,tsóo,,不標
陀,tô,,文
陀,tôo,,不標
附,hū,,不標
附,hù,,不標
亮,liōng,,不標
亮,liāng,,不標
侮,bú,,不標
係,hē,,不標
俊,tsùn,,不標
俏,tshiàu,,不標
俐,lī,,不標
俘,hu,,不標
俚,lí,,不標
俞,jû,,不標
俞,jî,,不標
俠,kiap,,不標
冒,mōo,,不標
則,tsik,,不標
勁,kìng,,不標
勁,kīng,,不標
勃,pu̍t,,不標
勉,bián,,不標
叛,puān,,不標
咫,tsí,,不標
咽,ian,,不標
咽,iat
型,hîng,,不標
垢,kóo,,文
垢,kió,,文
垢,káu,,白
垣,huân,,文
垣,uân,,不標
姦,kan,,不標
姻,in,,不標
姻,ian
姼,tshí,,文
姿,tsu,,不標
威,ui,,不標
娃,ua,,不標
宣,suan,,不標
宥,iū,,不標
宦,huān,,不標
屋,ok,,不標
帥,suè,,不標
帥,suì,,不標
帥,sut
幽,iu,,不標
建,kiàn,,不標
彥,gān,,不標
彥,giān,,不標
怎,tsím,,文
怎,tsuánn,,白
怒,lōo,,文
怒,nōo,,不標
恂,sûn
恂,sun
恆,hîng,,不標
恢,khue,,不標
括,kuat,,不標
拯,tsín,,不標
拱,kióng,,文
拱,kíng,,白
拼,phìng
拼,ping
拼,phing,,不標
拾,si̍p,,文
拾,tsa̍p,,白
既,kì,,不標
昧,muī,,文
昨,tso̍k,,文
昭,tsiau,,不標
昱,io̍k,,不標
枯,koo,,不標
枸,kóo,,不標
某,bóo,,不標
某,bió
柔,jiû,,不標
柩,kiū,,不標
柬,kán,,不標
柯,kho,,文
柯,khoo,,文
柯,kua,,白
柳,liú,,不標
柵,tshik,,文
柵,sa,,俗
殃,iong,,不標
殃,iang
洛,lo̍k,,不標
炫,hiān,,不標
炫,hiân
炳,píng,,不標
狡,káu,,不標
玲,lîng,,不標
玻,po,,不標
玻,poo
珊,san,,文
甚,sīm,,不標
甭,bàng,,不標
皇,hông,,不標
盈,îng,,不標
盼,phàn,,不標
盾,tún,,不標
砌,tshè,,文
砍,khám,,不標
祈,kî,,不標
祉,tsí,,不標
禹,ú,,不標
禹,í
突,tu̍t,,不標
竿,kan,,文
竿,kuann,,白
紀,kí,,不標
紂,tiū,,不標
耶,iâ,,不標
胖,phuàn,,文
胖,phuân,,文
胖,phàng,,白
胛,kap,,文
胛,kah,,白
胞,pau,,不標
舢,sam,,不標
苑,uán,,不標
苒,jiám,,文
苒,liám,,文
苒,giám,,文
苓,lîng,,不標
苗,biâu,,不標
苛,kho,,不標
苛,khoo,,文
苛,o,,文
苞,pau,,不標
苟,kóo,,不標
苟,kió
英,ing,,不標
苳,tong,,文
苳,tang,,白
茂,bōo,,不標
茂,biō
范,huān,,不標
茉,bua̍t,,文
茉,ba̍k,,白
茉,bua̍h,,白
要,iàu,,文
要,iau,,文
訃,hù,,不標
貞,tsing,,不標
軌,khuí,,文
軌,kuí,,文
迦,ka,,文
迦,kia,,文
迦,khia,,白
迪,ti̍k,,不標
迭,tia̍t,,不標
述,su̍t,,不標
郁,hiok,,不標
酋,siû,,不標
陋,lōo,,不標
陋,liō
陌,bi̍k,,不標
韋,uí,,雅、甘
韋,uî,,教典
韭,kiú,,文
韭,kú,,白
首,siú,,不標
乘,sîng,,不標
乘,sīng,,不標
俯,hú,,不標
俱,ku,,文
俱,ki,,文
俳,pâi,,不標
俸,hōng,,不標
倆,lióng,,不標
倖,hīng,,不標
候,hōo,,文
候,hiō,,文
候,hāu,,白
倡,tshiong,,不標
倡,tshiòng,,不標
倡,tshiang
倡,tshiàng
倦,kuān,,不標
倫,lûn,,不標
倭,ui,,文
倭,e,,白
冥,bîng,,不標
凋,tiau,,不標
凌,lîng,,不標
剖,phóo,,不標
剖,phió
剛,kong,,不標
卿,khing,,不標
原,guân,,不標
哲,tiat,,不標
哲,thiat,,俗
唆,so,,文
唆,soo,,文
唆,sō,,白
埃,ai,,不標
埒,lua̍t,,文
埒,lua̍h,,白
娉,phing,,不標
娉,phìng
娛,gû,,不標
娛,gî
娛,gōo
娛,ngōo
娜,ná,,不標
娟,kuan,,不標
娥,ngôo,,不標
娩,bián,,不標
娩,buán
宰,tsáinn,,不標
宰,tsái
宴,iàn,,不標
宵,siau,,不標
屐,kio̍k,,文
屐,ki̍k,,文
屐,kia̍h,,白
屑,siat,,文
屑,sap,,白
屑,sut,,白
峰,hong,,不標
峻,tsùn,,不標
峽,kiap,,不標
徐,sû,,文
徐,tshî,,白
徑,kìng,,不標
恐,khióng,,不標
恕,sù,,不標
悅,ua̍t,,不標
悅,ia̍t,,不標
悖,puē,,不標
悟,ngōo,,不標
悟,gōo
拿,ná,,不標
挫,tshò,,不標
挫,tshòo
捉,tshiok,,不標
捐,kuan,,不標
捕,pōo
捕,póo,,俗
旁,pông,,不標
晉,tsìn,,不標
朔,sok,,不標
桀,kia̍t,,不標
桂,kuì,,不標
桅,guî
桅,uî,,不標
殉,sûn,,不標
殊,sû,,不標
氧,ióng,,不標
泰,thài,,不標
浙,tsiat,,不標
浦,phóo,,不標
浩,hō,,不標
浪,lōng,,不標
涉,sia̍p,,不標
