華語詞目id,華語詞目,腔,漢字,羅馬字
,醫院,鹿港偏泉腔,病院,pǐnn-ǐnn
,醫院,鹿港偏泉腔,醫生館,i-sing-kuán
,醫院,三峽偏泉腔,病院,pīnn-īnn
,醫院,三峽偏泉腔,醫生館,i-sing-kuán
,醫院,臺北偏泉腔,病院,pīnn-īnn
,醫院,臺北偏泉腔,醫生館,i-sing-kuán
,醫院,宜蘭偏漳腔,病院,pēnn-īnn
,醫院,宜蘭偏漳腔,醫生館,i-sing-kuán
,醫院,臺南混合腔,病院,pēnn-īnn
,醫院,臺南混合腔,醫生館,i-sing-kuán
,醫院,高雄混合腔,病院,pēnn-īnn
,醫院,高雄混合腔,醫生館,i-sing-kuán
,醫院,金門偏泉腔,醫院,i-īnn
,醫院,馬公偏泉腔,醫生館,i-sing-kuán
,醫院,馬公偏泉腔,病院,pīnn-īnn
,醫院,新竹偏泉腔,病院,pīnn-ìnn
,醫院,臺中偏漳腔,病院,pēnn-ìnn
,醫院,臺中偏漳腔,醫生館,i-sing-kuán
,看醫生,臺北偏泉腔,予醫生看,hōo i-sing khuànn
,看醫生,宜蘭偏漳腔,予醫生看,hōo i-sing khuànn
,看醫生,臺南混合腔,予醫生看,hōo i-sing khuànn
,看醫生,高雄混合腔,予醫生看,hōo i-sing khuànn
,看醫生,鹿港偏泉腔,看醫生,khuànn-i-sing
,看醫生,三峽偏泉腔,看醫生,khuànn-i-sing
,看醫生,臺北偏泉腔,看醫生,khuànn-i-sing
,看醫生,宜蘭偏漳腔,看醫生,khuànn-i-sing
,看醫生,臺南混合腔,看醫生,khuànn-i-sing
,看醫生,高雄混合腔,看醫生,khuànn-i-sing
,看醫生,金門偏泉腔,予醫生看,hōo i-sing khuànn
,看醫生,馬公偏泉腔,看醫生,khuànn-i-sing
,看醫生,馬公偏泉腔,揣醫生,tshē-i-sing
,看醫生,新竹偏泉腔,看醫生,khuànn-i-sing
,看醫生,臺中偏漳腔,看醫生,khuànn-i-sing
,看醫生,新竹偏泉腔,予醫生看,hōo i-sing khuànn
,把脈,鹿港偏泉腔,𥌚脈,bāi-be̍h
,把脈,鹿港偏泉腔,節脈,tsat-be̍h
,把脈,三峽偏泉腔,節脈,tsat-bē
,把脈,臺北偏泉腔,節脈,tsat-me̍h
,把脈,宜蘭偏漳腔,節脈,tsat-mē
,把脈,臺南混合腔,節脈,tsat-me̍h
,把脈,臺南混合腔,摸脈,bong-me̍h
,把脈,高雄混合腔,節脈,tsat-me̍h
,把脈,高雄混合腔,候脈,hāu-me̍h
,把脈,金門偏泉腔,候脈,hāu-be̍h
,把脈,金門偏泉腔,掠脈,lia̍h-be̍h
,把脈,金門偏泉腔,𥌚脈,bāi-be̍h
,把脈,金門偏泉腔,扞脈,huānn-be̍h
,把脈,馬公偏泉腔,候脈,hāu-me̍h
,把脈,馬公偏泉腔,節脈,tsat-me̍h
,把脈,馬公偏泉腔,𥌚脈,bāi-me̍h
,把脈,新竹偏泉腔,節脈,tsat-be̍h
,把脈,臺中偏漳腔,節脈,tsat-meh
,注射,鹿港偏泉腔,注射,tsù-siǎ
,注射,鹿港偏泉腔,注射,tsù-siā
,注射,三峽偏泉腔,注射,tsù-siā
,注射,臺北偏泉腔,注射,tsù-siā
,注射,宜蘭偏漳腔,注射,tsù-siā
,注射,臺南混合腔,注射,tsù-siā
,注射,高雄混合腔,注射,tsù-siā
,注射,金門偏泉腔,拍針,phah-tsam
,注射,金門偏泉腔,注射,tsù-siā
,注射,馬公偏泉腔,注射,tsù-siā
,注射,新竹偏泉腔,注射,tsù-siā
,注射,臺中偏漳腔,注射,tsù-siā
,艾,鹿港偏泉腔,艾,hiānn
,艾,三峽偏泉腔,艾,hiānn
,艾,臺北偏泉腔,艾,hiānn
,艾,宜蘭偏漳腔,艾,hiānn
,艾,臺南混合腔,艾,hiānn
,艾,臺南混合腔,艾草,hiānn-tsháu
,艾,高雄混合腔,艾,hiānn
,艾,金門偏泉腔,艾,hiānn
,艾,馬公偏泉腔,艾,hiānn
,艾,新竹偏泉腔,艾,hiānn
,艾,臺中偏漳腔,艾,hiānn
,擲筊杯,鹿港偏泉腔,跋桮,pua̍h-pue
,擲筊杯,三峽偏泉腔,跋桮,puā-pue
,擲筊杯,臺北偏泉腔,跋桮,pua̍h-pue
,擲筊杯,宜蘭偏漳腔,跋桮,puā-pue
,擲筊杯,臺南混合腔,跋桮,pua̍h-pue
,擲筊杯,高雄混合腔,跋桮,pua̍h-pue
,擲筊杯,金門偏泉腔,跋桮,pua̍h-pue
,擲筊杯,馬公偏泉腔,跋桮,pua̍h-pue
,擲筊杯,新竹偏泉腔,跋桮,pua̍h-pue
,擲筊杯,臺中偏漳腔,跋桮,pua̍h-pue
,陰筊,鹿港偏泉腔,無桮,bô-pue
,陰筊,三峽偏泉腔,陰桮,im-pue
,陰筊,臺北偏泉腔,陰桮,im-pue
,陰筊,宜蘭偏漳腔,陰桮,im-pue
,陰筊,臺南混合腔,陰桮,im-pue
,陰筊,高雄混合腔,陰桮,im-pue
,陰筊,金門偏泉腔,陰桮,im-pue
,陰筊,馬公偏泉腔,象桮,siūnn-pue
,陰筊,新竹偏泉腔,匼桮,khap-pue
,陰筊,臺中偏漳腔,匼桮,khap-pue
,陰筊,臺中偏漳腔,陰桮,im-pue
,解籤詩,鹿港偏泉腔,逼籤詩,pik-tshiam-si
,解籤詩,三峽偏泉腔,解籤詩,kái-tshiam-si
,解籤詩,臺北偏泉腔,逼籤詩,pik-tshiam-si
,解籤詩,宜蘭偏漳腔,卜籤詩,pok-tshiam-si
,解籤詩,臺南混合腔,逼籤詩,piat-tshiam-si
,解籤詩,高雄混合腔,逼籤詩,pik-tshiam-si
,解籤詩,金門偏泉腔,逼籤詩,piat-tshiam-si
,解籤詩,馬公偏泉腔,逼籤詩,pik-tshiam-si
,解籤詩,新竹偏泉腔,逼籤詩,pik-tshiam-si
,解籤詩,新竹偏泉腔,解籤,kái-tshiam
,解籤詩,臺中偏漳腔,逼籤詩,pik-tshiam-si
,卜卦,鹿港偏泉腔,卜卦,pok-kuà
,卜卦,三峽偏泉腔,卜卦,pok-kuà
,卜卦,臺北偏泉腔,卜卦,pok-kuà
,卜卦,宜蘭偏漳腔,卜卦,pok-kuà
,卜卦,臺南混合腔,卜卦,pok-kuà
,卜卦,高雄混合腔,卜卦,pok-kuà
,卜卦,金門偏泉腔,卜卦,pok-kuà
,卜卦,馬公偏泉腔,跋卦,pua̍h-kuà
,卜卦,新竹偏泉腔,卜卦,pok-kuà
,卜卦,臺中偏漳腔,卜卦,pok-kuà
,廟公,鹿港偏泉腔,廟公,biō-kong
,廟公,三峽偏泉腔,廟公,biō-kong
,廟公,臺北偏泉腔,廟公,biō-kong
,廟公,宜蘭偏漳腔,廟公,biō-kong
,廟公,宜蘭偏漳腔,廟祝,biō-tsiok
,廟公,臺南混合腔,廟公,biōr-kong
,廟公,臺南混合腔,廟祝,biōr-tsiok
,廟公,高雄混合腔,廟公,biō-kong
,廟公,高雄混合腔,廟祝,biō-tsiok
,廟公,金門偏泉腔,廟祝,biō-tsiok
,廟公,馬公偏泉腔,宮公,king-kong
,廟公,新竹偏泉腔,廟公,biō-kong
,廟公,新竹偏泉腔,顧廟的,kòo-biō--ê
,廟公,臺中偏漳腔,廟公,biō-kong
,讀書,鹿港偏泉腔,讀書,tha̍k-tsir
,讀書,三峽偏泉腔,讀書,tha̍k-tsir
,讀書,臺北偏泉腔,讀書,tha̍k-tsu
,讀書,宜蘭偏漳腔,讀冊,tha̍k-tsheh
,讀書,臺南混合腔,讀冊,tha̍k-tsheh
,讀書,高雄混合腔,讀冊,tha̍k-tsheh
,讀書,金門偏泉腔,讀書,tha̍k-tsir
,讀書,馬公偏泉腔,讀書,tha̍k-tsu
,讀書,新竹偏泉腔,讀書,tha̍k-tsir
,讀書,新竹偏泉腔,讀書,tha̍k-tsu
,讀書,臺中偏漳腔,讀冊,tha̍k-tsheh
,墨,鹿港偏泉腔,墨,ba̍k
,墨,三峽偏泉腔,墨,ba̍k
,墨,臺北偏泉腔,墨,ba̍k
,墨,宜蘭偏漳腔,墨,ba̍k
,墨,臺南混合腔,墨,ba̍k
,墨,高雄混合腔,墨,ba̍k
,墨,金門偏泉腔,墨,ba̍k
,墨,馬公偏泉腔,墨,ba̍k
,墨,新竹偏泉腔,墨,ba̍k
,墨,臺中偏漳腔,墨,ba̍k
,墨,臺中偏漳腔,烏墨,oo-ba̍k
,硯台,鹿港偏泉腔,墨盤,ba̍k-puânn
,硯台,三峽偏泉腔,墨盤,ba̍k-puânn
,硯台,臺北偏泉腔,墨盤,ba̍k-puânn
,硯台,宜蘭偏漳腔,墨盤,ba̍k-puânn
,硯台,臺南混合腔,墨硯,ba̍k-hīnn
,硯台,臺南混合腔,墨盤,ba̍k-puânn
,硯台,高雄混合腔,墨硯,ba̍k-hīnn
,硯台,高雄混合腔,墨盤,ba̍k-puânn
,硯台,金門偏泉腔,硯,hīnn
,硯台,金門偏泉腔,墨硯,ba̍k-hīnn
,硯台,馬公偏泉腔,硯,hīnn
,硯台,新竹偏泉腔,墨盤,ba̍k-puânn
,硯台,臺中偏漳腔,墨盤,ba̍k-puânn
,信,鹿港偏泉腔,批,phue
,信,三峽偏泉腔,批,phue
,信,臺北偏泉腔,批,phue
,信,宜蘭偏漳腔,批,phe
,信,臺南混合腔,批,phue
,信,高雄混合腔,批,phue
,信,金門偏泉腔,批,phue
,信,馬公偏泉腔,批,phue
,信,新竹偏泉腔,批,phue
,信,臺中偏漳腔,批,phue
,黑板,鹿港偏泉腔,烏枋,oo-pang
,黑板,三峽偏泉腔,烏枋,oo-pang
,黑板,臺北偏泉腔,烏枋,oo-pang
,黑板,宜蘭偏漳腔,烏枋,oo-pang
,黑板,臺南混合腔,烏枋,oo-pang
,黑板,高雄混合腔,烏枋,oo-pang
,黑板,金門偏泉腔,烏牌,oo-pâi
,黑板,馬公偏泉腔,烏枋,oo-pang
,黑板,新竹偏泉腔,烏枋,oo-pang
,黑板,臺中偏漳腔,烏枋,oo-pang
,板擦,鹿港偏泉腔,拭仔,tshit-á
,板擦,三峽偏泉腔,烏枋拭仔,oo-pang-tshit-á
,板擦,臺北偏泉腔,烏枋拭仔,oo-pang-tshit-á
,板擦,宜蘭偏漳腔,粉拭仔,hún-tshit-á
,板擦,臺南混合腔,烏枋拭仔,oo-pang-tshit-á
,板擦,高雄混合腔,烏枋拭仔,oo-pang-tshit-á
,板擦,金門偏泉腔,烏板擦,oo-pán-tshat
,板擦,馬公偏泉腔,粉擦,hún-tshat
,板擦,新竹偏泉腔,烏枋拭仔,oo-pang-tshit-á
,板擦,臺中偏漳腔,烏枋拭仔,oo-pang-tshit-á
,通書,鹿港偏泉腔,通書,thong-sir
,通書,三峽偏泉腔,通書,thong-sir
,通書,臺北偏泉腔,通書,thong-tsu
,通書,宜蘭偏漳腔,通書,thong-si
,通書,臺南混合腔,通書,thong-su
,通書,高雄混合腔,通書,thong-su
,通書,金門偏泉腔,通書,thong-tsir
,通書,馬公偏泉腔,通書,thong-tsu
,通書,新竹偏泉腔,通書,thong-tsir
,通書,臺中偏漳腔,通書,thong-su
,春牛圖,鹿港偏泉腔,春牛圖,tshun-giû-tôo
,春牛圖,鹿港偏泉腔,春牛圖,tshun-gû-tôo
,春牛圖,三峽偏泉腔,春牛圖,tshun-gû-tôo
,春牛圖,臺北偏泉腔,春牛圖,tshun-gû-tôo
,春牛圖,宜蘭偏漳腔,春牛圖,tshun-gû-tôo
,春牛圖,臺南混合腔,春牛圖,tshun-gû-tôo
,春牛圖,高雄混合腔,春牛圖,tshun-gû-tôo
,春牛圖,金門偏泉腔,春牛圖,tshing-gû-tôo
,春牛圖,馬公偏泉腔,春牛圖,tshun-gû-tôo
,春牛圖,新竹偏泉腔,春牛圖,tshun-gû-tôo
,春牛圖,臺中偏漳腔,春牛圖,tshun-gû-tôo
,漫畫書,新竹偏泉腔,bàng-gà,bàng-gà
,漫畫書,鹿港偏泉腔,人仔書,lâng-á-tsir
,漫畫書,三峽偏泉腔,尪仔書,ang-á-tsir
,漫畫書,臺北偏泉腔,尪仔書,ang-á-tsu
,漫畫書,宜蘭偏漳腔,尪仔冊,ang-á-tsheh
,漫畫書,臺南混合腔,尪仔冊,ang-á-tsheh
,漫畫書,高雄混合腔,尪仔冊,ang-á-tsheh
,漫畫書,金門偏泉腔,人仔書,lâng-á-tsir
,漫畫書,馬公偏泉腔,尪仔書,ang-á-tsu
,漫畫書,臺中偏漳腔,尪仔冊,ang-á-tsheh
,歌仔戲,臺南混合腔,歌仔戲,kua-á-hì
,歌仔戲,鹿港偏泉腔,歌仔戲,kua-á-hì
,歌仔戲,三峽偏泉腔,歌仔戲,kua-á-hì
,歌仔戲,臺北偏泉腔,歌仔戲,kua-á-hì
,歌仔戲,宜蘭偏漳腔,歌仔戲,kua-á-hì
,歌仔戲,高雄混合腔,歌仔戲,kua-á-hì
,歌仔戲,金門偏泉腔,歌仔戲,kuai-á-hì
,歌仔戲,馬公偏泉腔,歌仔戲,kuai-á-hì
,歌仔戲,新竹偏泉腔,歌仔戲,kua-á-hì
,歌仔戲,臺中偏漳腔,歌仔戲,kua-á-hì
,玩偶,三峽偏泉腔,o-lín-gio,o-lín-gio
,玩偶,鹿港偏泉腔,人仔,lâng-á
,玩偶,臺北偏泉腔,尪公仔,ang-kong-á
,玩偶,宜蘭偏漳腔,尪仔,ang-á
,玩偶,臺南混合腔,尪仔,ang-á
,玩偶,高雄混合腔,尪仔,ang-á
,玩偶,金門偏泉腔,人仔,lâng--á
,玩偶,宜蘭偏漳腔,o-lín-gió,o-lín-gió
,玩偶,臺南混合腔,o-lín-gió,o-lín-gió
,玩偶,高雄混合腔,o-lín-gió,o-lín-gió
,玩偶,馬公偏泉腔,o-lín-gio̍h,o-lín-gio̍h
,玩偶,新竹偏泉腔,o-lín-gió,o-lín-gió
,玩偶,臺中偏漳腔,洋娃娃,ia̋ng-uá-ua
,盪鞦韆,鹿港偏泉腔,幌韆鞦,hàinn-tshian-tshiu
,盪鞦韆,三峽偏泉腔,幌韆鞦,hàinn-tshan-tshiu
,盪鞦韆,臺北偏泉腔,幌公鞦,hàinn-kong-tshiu
,盪鞦韆,臺北偏泉腔,幌韆鞦,hàinn-khan-thiu
,盪鞦韆,臺南混合腔,幌韆鞦,hàinn-tshan-tshiu
,盪鞦韆,高雄混合腔,幌韆鞦,hàinn-tshian-tshiu
,盪鞦韆,金門偏泉腔,幌韆鞦,hiù-tshian-tshiu
,盪鞦韆,馬公偏泉腔,幌韆鞦,hàinn-tshian-tshiu
,盪鞦韆,新竹偏泉腔,幌韆鞦,hàinn-tshian-tshiu
,盪鞦韆,宜蘭偏漳腔,幌中鞦,hàinn-tiong-tshiu
,盪鞦韆,臺中偏漳腔,幌中鞦,hàinn-tong-tshiu
,盪鞦韆,臺中偏漳腔,幌公鞦,hàinn-kong-tshiu
,游泳,鹿港偏泉腔,泅水,siû-tsuí
,游泳,三峽偏泉腔,泅水,siû-tsuí
,游泳,臺北偏泉腔,泅水,siû-tsuí
,游泳,臺北偏泉腔,游泳,iû-íng
,游泳,宜蘭偏漳腔,泅水,siû-tsuí
,游泳,宜蘭偏漳腔,游泳,iû-íng
,游泳,臺南混合腔,泅水,siû-tsuí
,游泳,臺南混合腔,洗浴,sé-i̍k
,游泳,臺南混合腔,游泳,iû-íng
,游泳,高雄混合腔,泅水,siû-tsuí
,游泳,高雄混合腔,游泳,iû-íng
,游泳,金門偏泉腔,泅水,siû-tsuí
,游泳,馬公偏泉腔,泅水,siû-tsuí
,游泳,新竹偏泉腔,泅水,siû-tsuí
,游泳,新竹偏泉腔,游泳,iû-íng
,游泳,臺中偏漳腔,泅水,siû-tsuí
,游泳,臺中偏漳腔,游泳,iû-íng
,蛙泳,鹿港偏泉腔,田蛤仔泅,tshân-kap-á-siû
,蛙泳,三峽偏泉腔,田蛤仔泅,tshân-kap-á-siû
,蛙泳,宜蘭偏漳腔,蛤仔泅,kap-á-siû
,蛙泳,高雄混合腔,四跤仔泅,sì-kha-á-siû
,蛙泳,馬公偏泉腔,水雞泅,tsuí-kue-siû
,蛙泳,新竹偏泉腔,田蛤仔泅,tshân-kap-á-siû
,蛙泳,臺中偏漳腔,水雞仔泅,tsuí-ke-á-siû
,珠子,鹿港偏泉腔,珠仔,tsu-á
,珠子,三峽偏泉腔,真珠仔,tsin-tsu-á
,珠子,臺北偏泉腔,真珠仔,tsin-tsu-á
,珠子,宜蘭偏漳腔,珠仔,tsu-á
,珠子,臺南混合腔,輾珠仔,lìn-tsu-á
,珠子,高雄混合腔,珠仔,tsu-á
,珠子,金門偏泉腔,嘓子,kho̍k-tsí
,珠子,馬公偏泉腔,真珠,tsin-tsu
,珠子,新竹偏泉腔,珠仔,tsu-á
,珠子,臺中偏漳腔,涼水珠仔,liâng-tsuí-tsu-á
,珠子,臺中偏漳腔,珠仔,tsu-á
,仰泳,鹿港偏泉腔,死囡仔䖙,sí-gín-á-the
,仰泳,三峽偏泉腔,死囡仔䖙,sí-gín-á-the
,仰泳,臺北偏泉腔,死囡仔䖙,sí-gín-á-the
,仰泳,宜蘭偏漳腔,死囡仔䖙,sí-gín-á-the
,仰泳,臺南混合腔,水雞仔弄鐃,suí-ke-á-lāng-lâu
,仰泳,臺南混合腔,倒拋泅,tòr-pha-siû
,仰泳,高雄混合腔,死囡仔䖙,sí-gín-á-the
,仰泳,高雄混合腔,倒拋泅,tòr-pha-siû
,仰泳,金門偏泉腔,乒乓泅,phīn-phōng-siû
,仰泳,馬公偏泉腔,放死豬仔流,pàng-sí-tu-á-lâu
,仰泳,新竹偏泉腔,死囡仔䖙,sí-gín-á-the
,仰泳,臺中偏漳腔,死囡仔䖙,sí-gín-á-thenn
,鼓掌,鹿港偏泉腔,拍噗仔,phah-pho̍k-á
,鼓掌,三峽偏泉腔,拍噗仔,phah-pho̍k-á
,鼓掌,臺北偏泉腔,拍噗仔,phah-pho̍k-á
,鼓掌,宜蘭偏漳腔,拍噗仔,phah-pho̍k-á
,鼓掌,高雄混合腔,拍噗仔,phah-pho̍k-á
,鼓掌,金門偏泉腔,拍噗仔,phah-phòo--á
,鼓掌,馬公偏泉腔,拍噗,phah-pho̍k
,鼓掌,新竹偏泉腔,拍噗仔,phah-pho̍k-á
,鼓掌,臺中偏漳腔,拍噗仔,phah-pho̍k-á
,鼓掌,臺中偏漳腔,拍匹噗仔,phah-phit-phok-á
,鼓掌,臺南混合腔,拍噗仔,phah-pho̍k-á
,捉迷藏,臺中偏漳腔,掩苦雞,ng-khóo-kue
,捉迷藏,鹿港偏泉腔,掩咯家,ng-ko̍k-ke
,捉迷藏,三峽偏泉腔,覕頷喓,bih-ām-iaunn
,捉迷藏,臺北偏泉腔,掩咯家,ng-ko̍k-ke
,捉迷藏,宜蘭偏漳腔,掩咯家,uinn-ko̍k-ke
,捉迷藏,宜蘭偏漳腔,踮相揣,tiàm-sio-tshuē
,捉迷藏,臺南混合腔,掩咯家,ng-ko̍k-ke
,捉迷藏,臺南混合腔,覕相揣,bih-sior-tshuē
,捉迷藏,高雄混合腔,掩咯家,am-ko̍k-ke
,捉迷藏,馬公偏泉腔,掩咯家,ng-ko̍k-ke
,捉迷藏,新竹偏泉腔,掩苦雞,ng-khóo-kue
,捉迷藏,臺中偏漳腔,覕相揣,bih-sio-tshuē
,捉迷藏,金門偏泉腔,掩苦雞,ng-khóo-kue
,骰子,鹿港偏泉腔,撚骰仔,lián-tǎu-á
,骰子,三峽偏泉腔,膏十八仔,kō-si̍p-pat-á
,骰子,臺北偏泉腔,救十八,kiù-si̍p-pat
,骰子,宜蘭偏漳腔,撚骰仔,lián-tâu-á
,骰子,臺南混合腔,撚寶,lián-pó
,骰子,高雄混合腔,撚骰仔,lián-tâu-á
,骰子,金門偏泉腔,骰仔,tāu--á
,骰子,馬公偏泉腔,骰仔,tāu--á
,骰子,新竹偏泉腔,骰九,tāu-káu
,骰子,臺中偏漳腔,十八骰仔,si̍p-pat-tāu-á
,陀螺,鹿港偏泉腔,干樂,kan-lo̍k
,陀螺,三峽偏泉腔,干樂,kan-lo̍k
,陀螺,臺北偏泉腔,干樂,kan-lo̍k
,陀螺,宜蘭偏漳腔,干樂,kan-lo̍k
,陀螺,臺南混合腔,干樂,kan-lo̍k
,陀螺,高雄混合腔,干樂,kan-lo̍k
,陀螺,金門偏泉腔,干樂,kan-lo̍k
,陀螺,馬公偏泉腔,干樂,kan-lo̍k
,陀螺,馬公偏泉腔,柴佛,tshâ-pu̍t
,陀螺,新竹偏泉腔,干樂,kan-lo̍k
,陀螺,臺中偏漳腔,干樂,kan-lo̍k
,法螺,鹿港偏泉腔,牛角鼓,gû-kak-kóo
,法螺,三峽偏泉腔,龍角,lîng-kak
,法螺,臺北偏泉腔,龍角,lîng-kak
,法螺,宜蘭偏漳腔,龍角,liông-kak
,法螺,臺南混合腔,角鼓,kak-kóo
,法螺,臺南混合腔,角管,kak-kóng
,法螺,高雄混合腔,角鼓,kak-kóo
,法螺,金門偏泉腔,哨角,sàu-kak
,法螺,馬公偏泉腔,龍角,lîng-kak
,法螺,新竹偏泉腔,哨角,sàu-kak
,貪汙,鹿港偏泉腔,食錢,tsia̍h-tsînn
,貪汙,三峽偏泉腔,食錢,tsiā-tsînn
,貪汙,臺北偏泉腔,食錢,tsia̍h-tsînn
,貪汙,宜蘭偏漳腔,歪哥,uai-ko
,貪汙,宜蘭偏漳腔,食錢,tsia̍h-tsînn
,貪汙,宜蘭偏漳腔,貪汙,tham-u
,貪汙,臺南混合腔,歪哥,uai-kor
,貪汙,臺南混合腔,食錢,tsia̍h-tsînn
,貪汙,臺南混合腔,貪汙,tham-u
,貪汙,高雄混合腔,歪哥,uai-kor
,貪汙,高雄混合腔,食錢,tsia̍h-tsînn
,貪汙,高雄混合腔,貪汙,tham-u
,貪汙,金門偏泉腔,食錢,tsia̍h-tsînn
,貪汙,馬公偏泉腔,食錢,tsia̍h-tsînn
,貪汙,馬公偏泉腔,歪哥,uai-ko
,貪汙,新竹偏泉腔,食錢,tsia̍h-tsînn
,貪汙,臺中偏漳腔,食錢,tsia̍h-tsînn
,貪汙,臺中偏漳腔,貪汙,tham-ú
,賄賂,鹿港偏泉腔,烏西,oo-sie
,賄賂,三峽偏泉腔,塞錢予人,siap-tsînn-hōo--lâng
,賄賂,臺北偏泉腔,烏西,oo-se
,賄賂,宜蘭偏漳腔,烏西,oo-se
,賄賂,臺南混合腔,烏西,oo-se
,賄賂,高雄混合腔,烏西,oo-se
,賄賂,金門偏泉腔,楗錢,kāinn-tsînn
,賄賂,金門偏泉腔,楗空,kāinn-khang
,賄賂,馬公偏泉腔,東包,tong-pau
,賄賂,馬公偏泉腔,烏西,oo-se
,賄賂,新竹偏泉腔,烏西,oo-se
,賄賂,臺中偏漳腔,烏西,oo-se
,賭博,鹿港偏泉腔,跋筊,pua̍h-kiáu
,賭博,三峽偏泉腔,跋筊,puā-kiáu
,賭博,臺北偏泉腔,跋筊,pua̍h-kiáu
,賭博,宜蘭偏漳腔,跋筊,puā-kiáu
,賭博,臺南混合腔,跋筊,pua̍h-kiáu
,賭博,高雄混合腔,跋筊,pua̍h-kiáu
,賭博,金門偏泉腔,跋筊,pua̍h-kiáu
,賭博,馬公偏泉腔,跋筊,pua̍h-kiáu
,賭博,新竹偏泉腔,跋筊,pua̍h-kiáu
,賭博,臺中偏漳腔,跋筊,pua̍h-kiáu
,賭場,鹿港偏泉腔,筊間,kiáu-king
,賭場,三峽偏泉腔,筊間,kiáu-king
,賭場,臺北偏泉腔,筊間,kiáu-king
,賭場,宜蘭偏漳腔,筊場,kiáu-tiûnn
,賭場,宜蘭偏漳腔,筊間,kiáu-king
,賭場,宜蘭偏漳腔,筊窟,kiáu-khut
,賭場,臺南混合腔,筊間,kiáu-king
,賭場,高雄混合腔,筊間,kiáu-king
,賭場,金門偏泉腔,筊場,kiáu-tiûnn
,賭場,馬公偏泉腔,筊場,kiáu-tiûnn
,賭場,新竹偏泉腔,筊場,kiáu-tiûnn
,賭場,臺中偏漳腔,筊場,kiáu-tiûnn
,抽頭,鹿港偏泉腔,東筊,tong-kiáu
,抽頭,三峽偏泉腔,抽頭,thiu-thâu
,抽頭,臺北偏泉腔,東筊,tong-kiáu
,抽頭,宜蘭偏漳腔,東筊,tong-kiáu
,抽頭,宜蘭偏漳腔,挨筊,e-kiáu
,抽頭,臺南混合腔,東筊,tong-kiáu
,抽頭,高雄混合腔,東筊,tong-kiáu
,抽頭,金門偏泉腔,東筊,tong-kiáu
,抽頭,馬公偏泉腔,東筊,tong-kiáu
,抽頭,新竹偏泉腔,東筊,tong-kiáu
,抽頭,臺中偏漳腔,抽東仔,thiu-tong-á
,騙子,鹿港偏泉腔,諞仙,pián-sian
,騙子,三峽偏泉腔,術仔,su̍t-á
,騙子,三峽偏泉腔,諞仙仔,pián-sian-á
,騙子,臺北偏泉腔,諞仙仔,pián-sian-á
,騙子,宜蘭偏漳腔,佬仔,láu-á
,騙子,宜蘭偏漳腔,諞仙仔,pián-sian-á
,騙子,臺南混合腔,諞仙仔,pián-sian-á
,騙子,高雄混合腔,諞仙仔,pián-sian-á
,騙子,馬公偏泉腔,諞仙,pián-sian
,騙子,馬公偏泉腔,騙子,phiàn-tsú
,騙子,新竹偏泉腔,諞仙仔,pián-sian-á
,騙子,臺中偏漳腔,諞仙仔,pián-sian-á
,小偷,鹿港偏泉腔,賊仔,tsha̍t-á
,小偷,三峽偏泉腔,賊仔,tsha̍t-á
,小偷,臺北偏泉腔,賊仔,tsha̍t-á
,小偷,宜蘭偏漳腔,勍仔,khiang-á
,小偷,臺南混合腔,賊仔,tsha̍t-á
,小偷,高雄混合腔,勍仔,khiang-á
,小偷,金門偏泉腔,鼠賊仔,tshír-tsha̍t--á
,小偷,馬公偏泉腔,賊,tsha̍t
,小偷,新竹偏泉腔,賊仔,tsha̍t-á
,小偷,臺中偏漳腔,賊仔,tsha̍t-á
,扒手,鹿港偏泉腔,剪綹,tsián-liú
,扒手,三峽偏泉腔,剪綹仔,tsián-liú-á
,扒手,臺北偏泉腔,剪綹仔,tsián-liú-á
,扒手,宜蘭偏漳腔,剪綹仔,tsián-liú-á
,扒手,臺南混合腔,剪綹仔,tsián-liú-á
,扒手,高雄混合腔,剪綹仔,tsián-liú-á
,扒手,金門偏泉腔,剪綹仔,tsián-liú--á
,扒手,馬公偏泉腔,剪綹仔,tsián-liú--á
,扒手,新竹偏泉腔,剪綹仔,tsián-liú-á
,扒手,臺中偏漳腔,剪綹仔,tsián-liú-á
,早死（詈語）,鹿港偏泉腔,夭壽仔,iáu-siū-á
,早死（詈語）,臺北偏泉腔,夭壽仔,iáu-siū-á
,早死（詈語）,宜蘭偏漳腔,夭壽,iáu-siū
,早死（詈語）,宜蘭偏漳腔,膨肚短命,phòng-tōo-té-miā
,早死（詈語）,臺南混合腔,夭壽仔,iáu-siū-á
,早死（詈語）,臺南混合腔,膨肚短命,phòng-tōo-té-miā
,早死（詈語）,高雄混合腔,夭壽,iáu-siū
,早死（詈語）,金門偏泉腔,夭壽,iáu-siū
,早死（詈語）,馬公偏泉腔,夭壽,iáu-siū
,早死（詈語）,新竹偏泉腔,孤毛絕種,koo-moo-tse̍rh-tsíng
,早死（詈語）,新竹偏泉腔,孤毛絕種,koo-moo-tse̍h-tsíng
,早死（詈語）,臺中偏漳腔,孤𣮈,koo-khut
,早死（詈語）,三峽偏泉腔,夭壽死囡仔,iáu-siū sí-gín-á
,盪,鹿港偏泉腔,盪,tňg
,盪,三峽偏泉腔,盪,tn̄g
,盪,臺北偏泉腔,盪,tn̄g
,盪,宜蘭偏漳腔,盪,tn̄g
