義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
,山坪,山坡地。山凹間或山麓上較平坦的地或可耕地。,,平洋,平原、平地。平坦廣闊的原野。
,下底,下面、底下。與「頂面」(tíng-bīn)相對。,,面頂,上面。
,下底,下面、底下。與「頂面」(tíng-bīn)相對。,,頂面,上面。
,下底,下面、底下。與「頂面」(tíng-bīn)相對。,,頂頭,上面、上頭。
,下底,下面、底下。與「頂面」(tíng-bīn)相對。,,頂懸,上面、上頭。
,乞的,養子女。,,親生,親自生育的。
,土直,形容一個人個性率真、剛直，不會深思熟慮，不會拐彎抹角。,,滑溜,圓滑。做事或言談面面周到，不得罪人。
,大厝,大房子、廣廈。,,低厝仔,簡陋又低矮的房子。
,大厝,大房子、廣廈。,,平階,平房。
,低厝仔,簡陋又低矮的房子。,,大厝,大房子、廣廈。
,低厝仔,簡陋又低矮的房子。,,樓仔厝,樓房。兩層或兩層以上的房子。
,低級,比較低下的級別，相對於「高級」而言。,,上等,最高等級或最優異的品等。
,低級,比較低下的級別，相對於「高級」而言。,,高級,較高尚、尊貴，層次等級較高的。
,上崎,上坡。,,落崎,下坡。
,下晝,下午。,,頂晡,早上、上午。
,下晡,下午。,,上午,清晨到中午之間。
,下晡,下午。,,早起,早上、早晨。
,下晡,下午。,,頂晡,早上、上午。
,小票,零鈔。小面額的紙幣。,,大張的,特指大鈔。指千元以上，大面額大的鈔票。
,大細心,偏心。指人故意偏袒一方，對某一方存私心。,,平棒,公正持平。
,大細心,偏心。指人故意偏袒一方，對某一方存私心。,,平正,公平、公正、無私心。
,大細目,本義為兩眼一大一小，大小眼。引申為用不公平的角度看待他人。,,平正,公平、公正、無私心。
,山頂,山的最高點。,,山跤,山腳。山下靠近平地的部分。
,大寒,極冷，嚴寒。,,大熱,酷暑。極炎熱的天氣。
,下港,指臺灣南部地方。,,北部,指某一地的北方區域。
,下港,指臺灣南部地方。,,頂港,北部。用來稱呼臺灣的北部地區。
,干焦,只有、僅僅。,,毋但,不只、不但。
,上等,最高等級或最優異的品等。,,低級,比較低下的級別，相對於「高級」而言。
,凡勢,也許、可能。,,定規,必定、必然、肯定。
,大腸,腸的下部。上接小腸，下連肛門，較小腸粗大而短，可依次分為盲腸、結腸與直腸三部分。大腸可吸收水分和一部分養分，並主宰排泄作用。,,小腸,在腸的上部，較大腸細長，上接胃部，下連大腸，有消化和吸收的功用，是人體最重要的消化器官。
,小腸,在腸的上部，較大腸細長，上接胃部，下連大腸，有消化和吸收的功用，是人體最重要的消化器官。,,大腸,腸的下部。上接小腸，下連肛門，較小腸粗大而短，可依次分為盲腸、結腸與直腸三部分。大腸可吸收水分和一部分養分，並主宰排泄作用。
,下跤,下面、底下。,,面頂,上面。
,下跤,下面、底下。,,頂面,上面。
,下跤,下面、底下。,,頂頭,上面、上頭。
,下跤,下面、底下。,,頂懸,上面、上頭。
,下跤,下面、底下。,,懸頂,上面、上頭。
,山跤,山腳。山下靠近平地的部分。,,山尾溜,山頂。
,山跤,山腳。山下靠近平地的部分。,,山頂,山的最高點。
,山跤,山腳。山下靠近平地的部分。,,山頭,山頂。
,山跤,山腳。山下靠近平地的部分。,,山尖,山嶺的頂點。
,下跤手人,手下、下屬。從事打雜工作的部屬。,,頂司,上司、上級。
