義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
,老,熟練、經驗豐富。,,幼茈,資淺。經驗不足、資歷淺的。
,老,年紀大。,,幼茈,年幼、稚嫩。年紀幼小。
,老大,江湖幫會或團體中的首領。,,小使,小弟、跑腿的。供人差遣的人。
,老大,江湖幫會或團體中的首領。,,卒仔,指小人物、無足輕重的人。
,老大人,老人家。高齡的長者。,,少年人,年輕人。
,老公仔,老人、老翁。,,少年人,年輕人。
,至少,最少、最低限度。,,上加,最多、頂多。
,至少,最少、最低限度。,,上濟,至多、頂多。指在最壞的情況下。
,至少,最少、最低限度。,,極加,最多、頂多。用來說明數量上、程度上等頂多如何。
,老板,舊稱商店主人，現在泛指工商企業、公司行號的產權所有人。,,辛勞,雇員、伙計。
,自然,天然，沒有經過人為加工的。,,人造,由人工製造而成的。
,老歲仔,指稱年長者的說法，通常帶有輕蔑的意味。,,少年人,年輕人。
,老練,形容做事手法好，經驗豐富。,,幼茈,資淺。經驗不足、資歷淺的。
,自頭,從頭。自起初開始。,,尾後,末了、後面、後頭。指時間、空間上的順序較現在這個地方還要來得晚、來得後面的。
,自頭,從頭。自起初開始。,,煞尾,末尾、最後。
,自頭,從頭。自起初開始。,,落尾,後來、最後。
,肉雞仔,肉雞。專門供作食用的雞。,,土雞仔,土雞。不是人工圈養吃飼料的雞。
,西,方位名。與「東」(tang)相對。西為太陽落下的方向。,,東,方位名，與「西」相對。
,西,方位名。與「東」(tong)相對。西為太陽落下的方向。,,東,方位名，與「西」相對。
,西爿,方位名。西邊、西方。,,東爿,東邊。
,西醫,採用西洋醫術的醫生或醫療方法。,,中醫,中國傳統的醫學。
,西醫,採用西洋醫術的醫生或醫療方法。,,漢醫,中醫。
,西藥,西醫所用的藥品，通常多為合成方法製成。,,漢藥,中藥。中醫所用的藥物。
,西藥房,販賣西洋藥物的商店。,,漢藥店,中藥鋪。中醫診治疾病和販賣中藥材的地方。
,冷,寒、涼、溫度低。,,熱,因為大氣溫度高於人體體溫而產生的感覺。
,冷吱吱,冷冰冰。形容非常冷。,,燒滾滾,熱騰騰。
,冷吱吱,冷冰冰。形容非常冷。,,燒烘烘,溫度很高、很悶熱，或由於炎症、發燒造成的身體熱度很高。
,冷吱吱,冷冰冰。形容非常冷。,,燒唿唿,熱呼呼、熱騰騰。
,冷吱吱,冷冰冰。形容非常冷。,,燒燙燙,溫度很高會燙人。
,伴娶,伴郎。指婚禮中陪伴新郎迎娶的男子。,,伴嫁,伴娘、陪嫁。陪伴新娘行婚禮的女子。
,伴嫁,伴娘、陪嫁。陪伴新娘行婚禮的女子。,,伴娶,伴郎。指婚禮中陪伴新郎迎娶的男子。
,免數想,休想、甭想。,,數想,妄想。荒誕或非份的想法。
,冷靜,沉著、理智，不感情用事。,,衝動,不加思索、感情用事。
,利,形容器物或五官的能力很尖銳。,,鈍,刀不利。
,吵,形容聲音雜亂的樣子。,,靜,不動、無聲。
,君子,才德出眾、品格高尚的人。,,小人,品德操守低下，人格卑劣的人。
,利益,好處。,,歹空,無利可圖、不好的事。
,利益,好處。,,䆀空,見【歹空】pháinn-khang 條。
,別款,別的樣式。,,仝款,同樣、相像。一樣，沒有差別。
,尾手,最後，手中剩下的。,,頭仔,最初。最早的時期、剛開始的時候。
,尾手,最後，手中剩下的。,,頭前,前面、前方。指空間、次序上比較先的。
,尾手,最後，手中剩下的。,,頭起先,起初、剛開始。
,尾手,最後，手中剩下的。,,起基,當初。
,尾牙,每逢初二、十六祭拜土地公稱做「做牙」﹔農曆十二月十六日為一年當中最後一次做牙，稱為「尾牙」。商家與公司行號通常會在這一天聚餐以犒賞員工。,,頭牙,土地公生日。漢族傳統民俗節日之一。農曆二月初二。這天是土地公生日，也是農曆年後第一次祭祀土地公，所以該次的祭祀土地公稱做「頭牙」。
,尾仔,最後、後來。也讀為輕聲bué--á/bé--á。,,原本,本來、原先。
,尾仔,最後、後來。也讀為輕聲bué--á/bé--á。,,頭仔,最初。最早的時期、剛開始的時候。
,尾仔囝,么兒。排行最小的兒子。,,大囝,長子、大兒子。稱謂。對長子的稱呼。
,尾仔囝,么兒。排行最小的兒子。,,大漢囝,長子、長男。
,孝呆,愚蠢、痴呆。,,聰明,聰敏、聰穎。形容人智力發達，記憶與理解力強。
,尾後,末了、後面、後頭。指時間、空間上的順序較現在這個地方還要來得晚、來得後面的。,,自頭,從頭。自起初開始。
,尾後,末了、後面、後頭。指時間、空間上的順序較現在這個地方還要來得晚、來得後面的。,,起頭,起初、開頭。
,尾後,末了、後面、後頭。指時間、空間上的順序較現在這個地方還要來得晚、來得後面的。,,頭先,起初、起先。在時間或事情流程上比較早的。
,尾後,末了、後面、後頭。指時間、空間上的順序較現在這個地方還要來得晚、來得後面的。,,頭前,前面、前方。指空間、次序上比較先的。
,尾後,末了、後面、後頭。指時間、空間上的順序較現在這個地方還要來得晚、來得後面的。,,頭起先,起初、剛開始。
,尾後,末了、後面、後頭。指時間、空間上的順序較現在這個地方還要來得晚、來得後面的。,,起基,當初。
,希望,期望、寄望。,,失望,希望落空，心裡難過。
,尾幫車,末班車。當天開出的最後一班車。,,頭幫車,首班車。當天開出的第一班車。
,序大,長輩。指輩份高，年紀大的人。,,下輩,晚輩、後輩。子姪輩或是輩分較低的人。
,序大,長輩。指輩份高，年紀大的人。,,序細,晚輩、後輩。
,序大,長輩。指輩份高，年紀大的人。,,後輩,晚輩。
,快車,加快行駛速度或是減少停靠站以節省行車時程的火車或公共汽車。,,慢車,速度比較慢或停站次數較多的火車。
,扴味,因為摻合不同食材，造成味道彼此不相合。,,合味,對味。形容食物的味道搭配得恰到好處，合於飲食者喜好。
,扴味,因為摻合不同食材，造成味道彼此不相合。,,合味,合於飲食者所習慣或喜歡的味道。
,扴味,因為摻合不同食材，造成味道彼此不相合。,,著味,形容口味對味，有好滋味。
,快活,愉快、舒服。,,辛苦,辛勞。形容身心勞累。
,快活,愉快、舒服。,,艱苦,難過、生病不舒服。
,快活,愉快、舒服。,,欲死,表示對某事嫌惡不滿。
,快活,形容生活寬裕的。,,歹過,生活困苦、不易度過。
,忤逆,不孝。不順從父母或長輩。,,有孝,孝順。侍奉父母尊長，克盡人子孝道。
,扭掠,形容手腳快、動作敏捷。,,鈍,笨拙緩慢。
,扭掠,形容手腳快、動作敏捷。,,懶性,懶散。拖拖拉拉的性情，做事不積極。
,扭掠,形容手腳快、動作敏捷。,,笨跤笨手,笨手笨腳。
,扭掠,形容手腳快、動作敏捷。,,趖跤趖手,形容動作慢吞吞，拖拖拉拉，反應遲鈍。
,扭掠,形容手腳快、動作敏捷。,,慢手,慢吞吞、動作遲緩。
,扭掠,形容手腳快、動作敏捷。,,慢鈍,遲鈍、慢吞吞。
,扭掠,形容手腳快、動作敏捷。,,粗跤重蹄,笨手笨腳。
,扭掠,形容手腳快、動作敏捷。,,鈍跤鈍手,笨手笨腳。形容動作或手腳不靈活。
,序細,晚輩、後輩。,,序大,長輩。指輩份高，年紀大的人。
,序細,晚輩、後輩。,,長輩,輩分高、年紀長的人。
,序細,晚輩、後輩。,,尊長,長輩。
,抗議,用抗爭的方式對別人的行為或一個被決定的措施提出反對的意見。,,支持,協助、贊同。
,抗議,用抗爭的方式對別人的行為或一個被決定的措施提出反對的意見。,,贊成,同意。
,汫,味道淡、不鹹。,,鹹,含鹽分或鹽味的。
,汫,味道淡、不鹹。,,厚味,形容東西的味道又濃又重。
,沉,往下落入水中。,,浮,漂在水面上或半空中。
,沉重,形容病勢嚴重或壓力、負擔很大。,,輕鬆,形容精神或生理上的感受既舒緩又沒有壓力。
,沙屑,形容人囉嗦，不乾脆。,,規氣,乾脆。做事直接乾脆，不拖泥帶水。
,束縛,拘束、被限制。,,敨放,解放。解除束縛，使自由發展。
,男,指男性。與女相對。,,女,女性、女子。
,男子,男人。,,女,女性、女子。
,私立,不是政府設立，由財團法人或私人創辦的。,,國立,隸屬中央層級，由國家公費所設立的各式機構的銜稱。
,私事,個人的事。,,公事,公眾的事務。
,罕得,稀罕、難得、稀少。語氣完結時唸作hán--tit。,,定定,常常、經常。
,罕得,稀罕、難得、稀少。語氣完結時唸作hán--tit。,,不三時,時常、常常。
,赤肉,瘦肉、精肉。,,白肉,肥肉。
,赤肉,瘦肉、精肉。,,肥肉,多脂肪質的肉類。
,辛苦,辛勞。形容身心勞累。,,快活,愉快、舒服。
,辛苦,辛勞。形容身心勞累。,,輕鬆,形容精神或生理上的感受既舒緩又沒有壓力。
,辛勞,雇員、伙計。,,老板,舊稱商店主人，現在泛指工商企業、公司行號的產權所有人。
,走精,失去準度、走樣。,,對千,瞄準。
,乖,形容懂事、順從。,,挐頭,小孩子無理取鬧的樣子。
,乖巧,形容人聰明伶俐，討人喜歡。,,挐頭,小孩子無理取鬧的樣子。
,享受,享有受用。,,受苦,吃苦、受難。遭受痛苦、困難或遭受磨難。
,享受,享有受用。,,食苦,吃苦。
,事後,事務已成定局之後，或事情發生之後。,,代先,事先、預先。
,侗戇,笨蛋。愚蠢、呆笨的人。,,聰明,聰敏、聰穎。形容人智力發達，記憶與理解力強。
,到今,及今、如今、至今。到如今。,,當初時,當初、那時候。
,卒仔,指小人物、無足輕重的人。,,老大,江湖幫會或團體中的首領。
,制服,統一規定式樣的服裝。,,便服,便衣。平常穿的衣服。
,制服,統一規定式樣的服裝。,,便衫,便服。平常居家在穿的衣服。
,受苦,吃苦、受難。遭受痛苦、困難或遭受磨難。,,享受,享有受用。
,卸貨底,出清存貨。,,貿貨底,把貨商賣剩的存貨用低價全部買下來。
,坦直,使成直向。,,坦橫,指物體打橫的狀態。
,坦直,使成直向。,,坦斜,斜著。
,呵咾,讚美、表揚。,,責備,批評指責。
,呵咾,讚美、表揚。,,罵,向別人說粗話、重話以示侮辱或責備。
,呵咾,讚美、表揚。,,罵,向別人說粗話、重話以示侮辱或責備。
,呵咾,讚美、表揚。,,譴責,責備。
,呵咾,讚美、表揚。,,體剔,責備、責罵。
,坦倒,放倒、躺倒。,,坦徛,直立。
,固執,形容堅持自己的意見，不肯變通。,,變撚,懂得變通，找到新方法解決問題。
,周密,周全。周全細密，考慮完備。,,疏忽,做事粗心大意，不周密。
,坦徛,直立。,,坦倒,放倒、躺倒。
,坦橫,指物體打橫的狀態。,,坦直,使成直向。
,坦覆,趴著、俯臥。,,坦笑,面朝上。
,奇,單數。,,雙,偶數的。
,妻,稱謂。男子稱自己的正式配偶。,,夫,婚後女子對男子的稱謂。
,垃圾,骯髒。汙穢，不乾淨。,,清氣,乾淨、清潔。
,定定,常常、經常。,,罕得,稀罕、難得、稀少。語氣完結時唸作hán--tit。
,定定,常常、經常。,,一半擺仔,偶爾、一兩次。
,定金,訂金。訂購物品時所預付的部分金額。,,後謝,尾款。受託人完成任務後，委託人支付的酬勞、尾款。
,店面,可直接與來往行人進行交易的商鋪。,,徛家厝,民宅、住家。
,定著,一定。,,無定,說不定。
,定著,穩重。,,趕狂,急忙、倉皇、慌慌張張。
,幸運,好運氣。,,歹運,背運、倒楣。運氣不好。
,定銀,訂金。訂購物品時所預付的部分金額。,,後謝,尾款。受託人完成任務後，委託人支付的酬勞、尾款。
,孤獨,孤僻、寡合。指人的性情乖異，不喜歡與人交際、親近。,,慷交,慷慨好客，交遊廣闊。
,彼,那個。指稱較遠距離的東西。,,這,指代稱較近距離的單數物品。
,彼,那。指稱較遠的人、事、物、時間或地方，後接量詞或名詞。,,這,指代稱較近的單數人、事、物、時間或地方，後接量詞或名詞。
,彼个,那個。,,這號,這一個、這種。
,往日,過去、以往。過去的日子。,,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。
,往日,過去、以往。過去的日子。,,未來,將來。相對於現在、過去來說。
,往日,過去、以往。過去的日子。,,將來,未來。尚未到的時候。
,往年,過去、從前。過去的年歲。,,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。
,往年,過去、從前。過去的年歲。,,未來,將來。相對於現在、過去來說。
,往年,過去、從前。過去的年歲。,,將來,未來。尚未到的時候。
,忠厚,老實。形容人的品性忠實寬厚。,,滑溜,圓滑。做事或言談面面周到，不得罪人。
,往時,從前、過去。,,後日仔,日後、以後、將來。未來的日子。
,彼站,那陣子、那個時候。離現在比較遠的一段時間。,,這站,這陣子、現在。說話當時的前後一段時間或一個節點。
,彼站,那陣子、那個時候。離現在比較遠的一段時間。,,這陣,現在。當下這個時刻。
,彼陣,那時、那陣子。,,這陣,現在。當下這個時刻。
,彼款,那樣。,,這號,這一個、這種。
,彼搭,彼處、那裡。離說話者比較遠的地方。,,這搭,這裡。
,彼號,那種。,,這號,這一個、這種。
,往過,以往、以前。,,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。
,往過,以往、以前。,,未來,將來。相對於現在、過去來說。
,往過,以往、以前。,,後擺,下次、下回。
,往過,以往、以前。,,將來,未來。尚未到的時候。
,往過,以往、以前。,,後日仔,日後、以後、將來。未來的日子。
,彼擺,那次。,,這陣,現在。當下這個時刻。
,彼擺,那次。,,這過,這次。
,往擺,以前、早先。,,後日仔,日後、以後、將來。未來的日子。
,旺,植物生長茂盛。,,焦蔫,植物因缺少水分或營養而枯萎。
,旺,植物生長茂盛。,,枯焦,枯乾。
,拄好,恰巧、剛好。,,毋拄好,搞不好、不湊巧。
,拚血,血崩。生產或流產時引發大出血。,,堅血,血液凝固。傷口不再流血。
,抵抗,抗拒、反抗。,,壓落底,壓制使順從、壓制使屈服。
,拖沙,形容人做事拖泥帶水、不乾脆。,,緊跤,腳勤。
,拘束,拘謹、不活潑。,,靠俗,不拘禮節、不拘小節。比喻人的交情熟稔而不拘守無關大體的細節。
,承受,接受、承擔。,,拒絕,拒退斷絕，不接受。
,承受,接受、承擔。,,謝絕,委婉地推辭拒絕。
,放放,散漫、馬虎。草率不認真。,,致心,盡心盡力、專心致志。
,抱的,養子女。抱養的子女，不是親生的子女。,,親生,親自生育的。
,拆股,拆夥。結束合作關係，取回應有的資產、股份。,,合股,合夥。幾個人集合資本共同經營事業。
,拆股,拆夥。結束合作關係，取回應有的資產、股份。,,鬥股,合股。若干人集合資本共同經營事業。
,拆股,拆夥。結束合作關係，取回應有的資產、股份。,,佮股,合夥。幾個人集合資本共同經營事業。
,押後,殿後，在最後面。,,代先,最前頭。
,押後,殿後，在最後面。,,做前,領頭、帶領。
,抾拾,節省、節儉。,,拍損,浪費、蹧蹋。
,拍某菜,茼蒿。植物名。菊科茼蒿屬，一年生草本。高至70公分，葉互生，邊緣有不規則羽狀分裂。頭狀花序，花黃色或白色。嫩莖及葉可食，為臺灣地區冬季盛產蔬菜之一。一般常用來搭配火鍋或鹹湯圓，由於莖葉的水分多，煮過後會大量失水，只剩一點點，會讓丈夫誤以為被妻子吃掉，所以舊時又稱之為「拍某菜」。,,疼某菜,牛蒡。草本植物。根及嫩葉可食，種子、根還可用做藥物，能降火解毒。因有滋陰補陽的功效，丈夫可多買給妻子吃，為妻子補身，且自己食用，也有助於房事，所以稱為「疼某菜」。
,拖累,連累、牽累。,,牽抾,受他人協助，導致某種好的結果。
,抽稅,徵稅、課稅。徵收稅金。,,納稅,繳納稅賦。
,拒絕,拒退斷絕，不接受。,,承受,接受、承擔。
,拒絕,拒退斷絕，不接受。,,承擔,承受、擔負。
,拒絕,拒退斷絕，不接受。,,接受,接納，收受。
,拒絕,拒退斷絕，不接受。,,接納,接受。
,拒絕,拒退斷絕，不接受。,,答應,允許、承諾。
,拒絕,拒退斷絕，不接受。,,領受,接受。收受、接納。
,放債,遺留債務。,,還數,還債。償還所積欠的債款。
,拍損,浪費、蹧蹋。,,抾拾,節省、節儉。
,拍損,浪費、蹧蹋。,,惜略,惜物，珍惜東西。
,承擔,承受、擔負。,,拒絕,拒退斷絕，不接受。
,承擔,承受、擔負。,,謝絕,委婉地推辭拒絕。
,拍翸,揮霍。,,惜略,惜物，珍惜東西。
,東,方位名，與「西」相對。,,西,方位名。與「東」(tang)相對。西為太陽落下的方向。
,東,方位名，與「西」相對。,,西,方位名。與「東」(tong)相對。西為太陽落下的方向。
,東爿,東邊。,,西爿,方位名。西邊、西方。
,東倒西歪,形容亂七八糟的樣子。,,四正,四方端正、不偏不倚。
,東倒西歪,形容亂七八糟的樣子。,,整齊,有次序、有條理。
,武市,從事外送、大宗買賣，主動開發客源的商行。,,文市,零售商行。
,沓沓仔,慢慢地。,,趕緊,加快動作的速度。
,沓沓仔,慢慢地。,,趕緊,急迫、匆忙。
,注意,小心、留意。,,無細膩,不小心。
,知,明白、了解。,,毋知,不知、不知道。
,知,明白、了解。,,毋知影,不知、不知道。
,直直,很直，沒有轉彎。,,虯虯,蜷曲。通常用來形容毛髮。
,空殼,空心不實的。,,實腹,內部紮實不空心的。
,知影,知道、懂得。,,毋知,不知、不知道。
,知影,知道、懂得。,,毋知影,不知、不知道。
,的確,一定。,,無的確,說不定、不一定。
,芳,香氣令人愉悅的。,,臭,形容味道難聞。
,肥肉,多脂肪質的肉類。,,赤肉,瘦肉、精肉。
,肥肉,多脂肪質的肉類。,,精肉,瘦肉。
,肥肉,多脂肪質的肉類。,,瘦肉,瘦肉、精肉。
,花巴哩貓,形容圖案樣式或顏色雜亂無章的樣子。,,素色,白色、素色、淡雅的顏色。
,近,指時間、地點、血統、關係等方面距離不遠的。,,遠,時間、空間的距離大，或是血統、交情等關係不近。
,近,指時間、地點、血統、關係等方面距離不遠的。,,遠,時間、空間的距離大，或是血統、交情等關係不近。
,長,形容時間的久遠。,,短,事物之間的距離小，與長相對。
,長,形容物體或空間兩端的距離較大、較遠。,,短,事物之間的距離小，與長相對。
,長,形容物體或空間兩端的距離較大、較遠。,,短,引申為不夠、少、小、缺失等。
,長䘼,長袖。,,短䘼,短袖。長度不超過上臂的袖子。
,雨來天,雨天、下雨天。,,好天,好天氣。晴朗、氣溫宜人，令人覺得舒爽。
,雨來天,雨天、下雨天。,,大晡日,出大太陽的好天氣。
,長命,長壽、高壽。,,夭壽,夭折。短命早死。
,長命,長壽、高壽。,,短命,以詛咒人壽命不長、早死來罵人。
,長命,長壽、高壽。,,短歲壽,短命。壽命不長、早夭。
,虯虯,蜷曲。通常用來形容毛髮。,,直直,很直，沒有轉彎。
,金金,睜大眼睛。,,微微,瞇眼。眼睛微微閉合。
,阿婆,老婦。對年長婦人的通稱。,,少女,年輕未婚的女孩子。
,長途,遙遠的路程。,,短站,短程。
,長歲壽,長壽、長命、高壽。,,夭壽,夭折。短命早死。
,長歲壽,長壽、長命、高壽。,,短命,以詛咒人壽命不長、早死來罵人。
,長歲壽,長壽、長命、高壽。,,短歲壽,短命。壽命不長、早夭。
,長壽,長命、高壽。壽命很長。,,夭壽,夭折。短命早死。
,長壽,長命、高壽。壽命很長。,,短命,以詛咒人壽命不長、早死來罵人。
,長壽,長命、高壽。壽命很長。,,短歲壽,短命。壽命不長、早夭。
,虯儉,節儉、節約、儉省。,,匪類,指人任意蹧蹋物資，不加節制。
,虯儉,節儉、節約、儉省。,,浪費,沒有節制、無益的耗費。
,虯儉,節儉、節約、儉省。,,討債,浪費、蹧蹋。沒有節制、無益的耗費。
,長輩,輩分高、年紀長的人。,,下輩,晚輩、後輩。子姪輩或是輩分較低的人。
,長輩,輩分高、年紀長的人。,,序細,晚輩、後輩。
,近親,血緣較近的親屬。,,遠親,血統關係較為疏遠的親戚。
,非法,與現行法令相違背的。,,合法,合於法令規範。
,便宜,價格低廉。,,貴,東西價錢很高。
,便服,便衣。平常穿的衣服。,,制服,統一規定式樣的服裝。
,便衫,便服。平常居家在穿的衣服。,,制服,統一規定式樣的服裝。
,俗,便宜。,,貴,東西價錢很高。
,俗,便宜。,,貴參參,非常昂貴的。
,俗,便宜。,,無價,無價、珍貴、價值連城。
,前,位置在正面或靠近開頭的。,,後,在背面的。
,前,時間或次序較早的。,,後,指時間次序上比較晚的。
,前,位置在正面或靠近開頭的。,,後,在背面的。
,前,時間或次序較早的。,,後,指時間次序上比較晚的。
,勇,健康、強壯。,,荏,形容人的身體虛弱，沒有元氣。
,勇,健康、強壯。,,虛荏,身體虛弱。
,勇,物品堅固耐用。,,荏,形容某事物的質地不夠紮實、堅固。
,南,方位名。早晨面朝太陽時，右手的一邊。與「北」相對。,,北,方位名。與「南」相對。
,前日,前幾天。,,後日仔,日後、以後、將來。未來的日子。
,南爿,南邊。南方。,,北爿,北邊。北方。
,前世,上輩子。,,後世人,下輩子、來世、來生。
,前世,上輩子。,,後出世,下輩子、來世、來生。
,前金,訂金。預付商品或勞務報酬的部分金額。,,後謝,尾款。受託人完成任務後，委託人支付的酬勞、尾款。
,前某,前妻。已去世或離異的妻子。,,前翁,前夫。前任的丈夫。
,前某,前妻。已去世或離異的妻子。,,後岫,後妻、繼室、繼配。稱謂。原配死後續娶的妻子。
,前某,前妻。已去世或離異的妻子。,,後某,後妻、繼室、繼配。稱謂。原配死後續娶的妻子。
,前翁,前夫。前任的丈夫。,,前某,前妻。已去世或離異的妻子。
,勇健,健朗。形容身體健康硬朗。,,虛荏,身體虛弱。
,勉強,勉強。強迫別人去做他所不願意做的事。,,情願,甘心、願意。
,南極,地球的最南端，南緯九十度上。,,北極,地球沿南北向的地軸旋轉，而此地軸的北端，稱為「北極」。
,南管,流行於福建、臺灣及東南亞地區的古樂。以古代樂曲逐步融合當地的民間音樂，歌者手拿拍板，以琵琶為主要伴奏，再配合洞簫、三弦、二弦、四塊板等樂器演奏。南管樂曲通常分為指、譜、曲三種，樂風平和端莊。,,北管,流行在中國閩南及臺灣的傳統音樂。因為由北曲演變而來，所以稱為「北管」。依照所使用的樂器，可分為西皮和福祿二派。西皮以弔鬼子胡琴為主奏樂器；福祿則用殼子弦。唱腔上，福祿部分保存梆子腔系統，西皮部分保存皮黃腔系統。
,前輩,長輩。年長或資歷深的人。,,下輩,晚輩、後輩。子姪輩或是輩分較低的人。
,前輩,長輩。年長或資歷深的人。,,後輩,晚輩。
,前謝,預付的報酬金。,,後謝,尾款。受託人完成任務後，委託人支付的酬勞、尾款。
,前擴,前額凸出的部分。,,後擴,後腦杓。頭後面比較突出的部分。
,前驛,車站的前站。「驛」源自日語「駅（えき）」。,,後驛,車站的後站。「驛」源自日語「駅（えき）」。
,厚,指物體表面與底部之間的距離比較大的。與「薄」(po̍h)相對。,,薄,非常扁平的樣子，與「厚」相反。可引申為淡的、少的。
,厚,形容質量或程度多而且大。,,薄,非常扁平的樣子，與「厚」相反。可引申為淡的、少的。
,厚,指數量多的。,,少,多的相反。大多用於可計數之實體性物質。
,厚禮數,多禮。禮數周到。,,無禮,形容人不懂禮數。
,城市,都市。人口集中，工商業發達，居民多為外來人口，通常是周圍地區的經濟、政治、文化及流行中心。,,庄跤,鄉下。
,城市,都市。人口集中，工商業發達，居民多為外來人口，通常是周圍地區的經濟、政治、文化及流行中心。,,鄉村,農村、鄉下。鄉下的村落。
,城市,都市。人口集中，工商業發達，居民多為外來人口，通常是周圍地區的經濟、政治、文化及流行中心。,,農村,農民聚居的村落。
,巷,大街旁的小通道。,,大路,寬敞開闊的道路。
,巷仔,小巷。大街旁的小通道。,,大路,寬敞開闊的道路。
,後,指時間次序上比較晚的。,,前,時間或次序較早的。
,後,指時間次序上比較晚的。,,前,時間或次序較早的。
,後,在背面的。,,前,位置在正面或靠近開頭的。
,後,在背面的。,,前,位置在正面或靠近開頭的。
,後月日,下個月。,,頂月,上個月。
,後月日,下個月。,,頂月日,上個月。
,後世人,下輩子、來世、來生。,,前世,上輩子。
,後世人,下輩子、來世、來生。,,頂世人,前世、上輩子。
,後世人,下輩子、來世、來生。,,前世人,前世、上輩子。
,後出世,下輩子、來世、來生。,,前世,上輩子。
,後出世,下輩子、來世、來生。,,頂世人,前世、上輩子。
,後出世,下輩子、來世、來生。,,前世人,前世、上輩子。
,後來,指一段時間之後。,,代先,事先、預先。
,後來,指一段時間之後。,,進前,以前、從前。
,後來,指一段時間之後。,,寢頭,起初、起先。剛開始的時候。
,後岫,後妻、繼室、繼配。稱謂。原配死後續娶的妻子。,,前某,前妻。已去世或離異的妻子。
,急性,性情急躁。,,耐性,能忍耐、不急躁的個性 。
,急性,性情急躁。,,慢性,性情不急躁。
,急性,變化急劇的。,,慢性,時間長的、耐久的。
,恬恬,安靜無聲。,,出聲,用嘴發出聲音，常用來表示「說話」的意思。
,恬恬,安靜無聲。,,嗤噌,指鼻子強力吸氣、呼氣，發出聲音。後引申為吭聲。
,恬恬,安靜無聲。,,喝聲,出聲回應、表態。對於別人的發問，出聲表示贊同與否。
,後某,後妻、繼室、繼配。稱謂。原配死後續娶的妻子。,,前某,前妻。已去世或離異的妻子。
,後面,人體或物體背面、靠後的部分。,,正面,身體五官的那一面、物體的外表或上層。
,後面,人體或物體背面、靠後的部分。,,面頭前,眼前、面前。
,後面,人體或物體背面、靠後的部分。,,頭前,前面、前方。指空間、次序上比較先的。
,後個月,下個月。,,頂月,上個月。
,後個月,下個月。,,頂月日,上個月。
,後輩,晚輩。,,先輩,前輩、先進。尊稱年齡或輩份較長的人。
,後輩,晚輩。,,序大,長輩。指輩份高，年紀大的人。
,後輩,晚輩。,,前輩,長輩。年長或資歷深的人。
,後壁,背面、後面。,,頭前,前面、前方。指空間、次序上比較先的。
,恬靜,安靜無聲。,,鬧熱滾滾,場面非常熱鬧、人聲鼎沸的樣子。
,恬靜,文靜。,,賤,指人生性好動，喜歡擺弄任何能夠接觸到的東西。
,恬靜,文靜。,,捙蛆,形容小孩過動、躁動的樣子。
,恬靜,文靜。,,無時定,形容人活潑好動，一刻都閒不下來。
,後頭,娘家。,,內家,婆家。指女人出嫁後，丈夫的父母家。
,後頭厝,娘家。女性出嫁後對親生父母家的稱呼，以用來和婆家作區別。,,內家,婆家。指女人出嫁後，丈夫的父母家。
,後擴,後腦杓。頭後面比較突出的部分。,,前擴,前額凸出的部分。
,後擺,下次、下回。,,往過,以往、以前。
,後擺,下次、下回。,,頂過,上次。
,後擺,下次、下回。,,頂幫,上次，前一次。
,後擺,下次、下回。,,頂擺,上次、前回。
,後擺,下次、下回。,,頂改,上次、上回。
,後驛,車站的後站。「驛」源自日語「駅（えき）」。,,前驛,車站的前站。「驛」源自日語「駅（えき）」。
,挃,要、欲。,,毋挃,不要。
,是,表示肯定判斷語，用來說明主詞，一般後面跟著名詞。,,毋是,不是。
,春節,過年、新年。,,年尾,年終、歲未。
,某,妻子、太太、老婆。,,查埔人,丈夫、老公。
,某,妻子、太太、老婆。,,翁,丈夫。女人稱與自己有婚姻關係的男子。
,柯,形容在品嚐蔬菜或瓜果時，有纖維粗糙的感覺。,,幼,嫩。用於形容蔬菜、肉類的口感。
,查某,女人、女性、女生。,,查埔,男人、男性、男生。
,查某,女人、女性、女生。,,查埔人,男人。
,查某人,女人。,,查埔,男人、男性、男生。
,查某人,女人。,,查埔人,男人。
,查某人,太太、妻子。,,查埔人,丈夫、老公。
,查某人,太太、妻子。,,翁婿,丈夫。稱謂。妻子對他人稱自己的丈夫。
,查某囡仔,對年輕女子的泛稱。,,查埔囡仔,對年輕男孩的泛稱。
,查埔,男人、男性、男生。,,查某,女人、女性、女生。
,查埔,男人、男性、男生。,,查某人,女人。
,查埔人,男人。,,查某,女人、女性、女生。
,查埔人,男人。,,查某人,女人。
,查埔人,丈夫、老公。,,太太,丈夫稱呼自己的妻子。 
,查埔人,丈夫、老公。,,某,妻子、太太、老婆。
,查埔人,丈夫、老公。,,查某人,太太、妻子。
,查埔人,丈夫、老公。,,家後,妻子、太太。
,查埔人,丈夫、老公。,,牽手,太太、老婆。
,查埔囡仔,對年輕男孩的泛稱。,,查某囡仔,對年輕女子的泛稱。
,歪,歪斜。,,正,中、不偏的、不歪斜的。
,洘,液體濃、稠。,,漖,含水分多的、被水分稀釋的。
,洘旱,大旱、旱災。長期不雨所造成的嚴重乾旱。,,做大水,水災、淹水。
