詞目id,詞目漢字,對應詞目id,對應詞目漢字
,樹仔,,樹欉
,樹枝,,樹椏
,樹枝,,樹錦
,機場,,飛行場
,機場,,飛行機埕
,橄欖,,草橄欖
,橄欖,,青果
,甌,,甌仔
,燃火,,起火
,燃火,,點火
,甌仔,,杯仔
,甌仔,,茶杯仔
,甌仔,,茶甌仔
,獨身,,單身
,獨身,,羅漢跤
,燈猜,,燈虎
,燈猜,,燈謎
,燒著,,燙著
,燕窩,,血燕
,磨坩,,磨坩仔
,糖丹,,糖膽
,篩仔,,米篩
,篩仔,,篩
,篩仔,,沙篩
,糕仔餅,,糕餅
,糖廍,,糖廠
,糖廍,,蔗廍
,興酒,,癮酒
,褲袋仔,,褲橐袋仔
,蕨貓,,過溝菜
,親姆婆,,親家媽
,頭水,,頭生
,頭水,,頭批
,頷垂,,瀾垂
,頷垂,,頷垂仔
,骿條,,骿條肉
,頭擺,,頭一回
,頭擺,,頭改
,嬰母仔,,幼母仔
,戲曲,,戲文
,戲曲,,戲齣
,戲院,,電影戲園
,戲院,,戲園
,戲園,,電影戲園
,戲園,,戲院
,檢定,,考試
,檢驗,,檢查
,檢驗,,查驗
,濫使,,亂使
,濫使,,亂來
,濫使,,亂使來
,營養,,養分
,燦爛,,光采
,縮,,收束
,縮,,收縮
,糞堆,,糞埽堆
,總講,,總講一句
,聲,,音
,舉荐,,推荐
,聯對,,對聯
,薁蕘,,子仔
,聲聲句句,,口口聲聲
,艱難,,困難
,艱難,,辛苦
,艱難,,硬篤
,觳,,觳仔
,講,,開講
,觳仔,,觳
,謄本,,抄本
,講好,,有品
,講好,,品好
,謝金,,紅包
,謝金,,謝禮
,謝金,,禮金
,講笑,,講耍笑
,蹌箍螺,,蹌跤引
,講親情,,提親
,鍋,,鼎
,鍋,,鼎
,鍋,,鍋仔
,鍊仔,,鍊
,鍋仔,,鍋
,邀請,,招
,隱居,,隱遁
,闊喙,,闊喙仔
,闊腹,,白腹仔
,闊腹,,白腹
,點心擔,,點心擔仔
,點鐘,,小時
,甕,,甕仔
,癖,,痲
,癖,,痲仔
,癗,,噗
,甕仔,,甕
,薸,,水薸
,薸,,萍
,織女,,七娘媽
,糧草,,兵糧
,薰喙仔,,薰喙
,繏腰,,束腰
,翻頭,,越頭
,薰頭,,薰屎
,薰頭,,薰節仔
,翻譯,,通譯
,蟳仔,,紅蟳
,蟳仔,,蠘仔
,蟳仔,,紅蟳仔
,藐視,,看無
,藐視,,輕視
,蟧蜈車,,蜈蚣車仔
,蟧蜈車,,蟧蜈車仔
,轉,,捘
,轉外家,,轉後頭
,轉外家,,轉後頭厝
,豐年,,好年冬
,豐年,,好收成
,豐收,,大收
,豐收,,好冬
,豐收,,好收
,轉後頭,,轉外家
,轉後頭,,轉後頭厝
,鎮,,鄉
,雙生仔,,雙生仔囝
,醫生館,,病院
,醫生館,,診所
,醫生館,,醫館
,雞跤爪,,雞爪
,雞跤爪,,雞爪仔
,雜種仔囝,,雜種仔
,鯽,,鯽仔魚
,鯽,,南洋鯽仔
,鯽,,鯽仔
,鯽,,鯽魚
,鯽仔魚,,鯽
,鯽仔魚,,南洋鯽仔
,鯽仔魚,,鯽仔
,鯽仔魚,,鯽魚
,鮸魚,,鮸仔
,懶,,𤺪
,懶屍,,懶屍骨
,臘肉,,燻肉
,藥丹,,藥丸仔
,藥局,,藥店
,藥房,,西藥房
,藥房,,漢藥店
,藥房,,參藥引
,藥粉,,藥粉仔
,譀呱呱,,譀古
,難免,,未免得
,關帝爺,,恩主公
,關帝爺,,關公
,騙,,拐
,鯰魚,,鯰仔
,礦泉水,,山泉水
,蘆黍,,番黍
,蘆黍,,高粱
,譬論講,,比如
,攝襇,,抾襇
,鐵馬,,孔明車
,鐵馬,,自轉車
,鐵馬,,跤踏車
,鐵馬,,鐵馬仔
,囉,,吵
,彎來斡去,,彎彎斡斡
,彎來斡去,,彎彎曲曲
,歡喜,,快樂
,彎彎斡斡,,彎來斡去
,彎彎斡斡,,彎彎曲曲
,癮仙哥,,癮兄哥
,癮仙哥,,癮先生
,顫,,掣
,鰻,,鰻魚
,鰱魚,,鰱
,鰱魚,,鰱仔
,齪嘈,,攪擾
,顯目,,影目
,顯目,,顯頭
,顯目,,醒目
,變色,,反色
,變色,,轉色
,鱖,,鱖魚
,鱖,,桂花魚
,靈丹,,仙丹
,蠶豆,,馬齒豆
,蠶豆,,齒豆
,齆鼻聲,,齆聲
,齆鼻聲,,實鼻聲
,齆聲,,齆鼻聲
,齆聲,,實鼻聲
,廳堂,,大廳
,廳堂,,客廳
,觀音,,觀音佛祖
,觀音,,觀音媽
,鑿,,扦
,鑿目,,豉目
,鑿目,,瞠目
,戇的,,孝呆的
,戇的,,戇仔
,戇神,,失神
,戇神,,神去
,戇神,,踅神
,戇神,,出神
,蹽溪仔,,蹽水
,蹽溪仔,,蹽溪
,㨨,,揫
,𠯗一下,,溼一下
,𥐵,,盤仔
,𥐵,,𥐵仔
,㧒,,挕
,㧒,,擲
,必痕,,必巡
,㴙㴙落,,捷捷落
,寢,,拄才
,寢,,拄仔
,一口灶,,一戶
,山空,,山洞
,山空,,山空仔
,枷車藤,,蒜茸枝
,枷車藤,,索仔股
,枷車藤,,索仔條
,必巡,,必痕
,伨頭,,伨重
,考試單,,考卷
,考試單,,考試紙
,扳仔,,十扳仔
,扳仔,,死扳仔
,扳仔,,活扳仔
,拜六,,禮拜六
,拜請,,呼請
,個外月,,月外日
,個外月,,一個外月
,個外月,,一月外日
,捎無摠,,掠無頭摠
,捎無摠,,捎無頭摠
,捎無摠,,捎無摠頭
,紙敬,,香奠
,捽繩,,彈繩
,終其尾,,歸尾
,終其尾,,終歸尾
,鹿角龜,,戰甲蟲
,鹿角龜,,獨角龜仔
,鹿角龜,,獨角金龜
,掣一趒,,驚一趒
,棧間,,倉庫
,棧間,,棧房
,湢,,遏
,無捨施,,無捨無施
,發財仔車,,發財仔
,發輦,,起輦
,窗仔簾,,窗簾仔
,窗仔簾,,窗仔門簾
,菜販仔,,賣菜的
,開聲,,放聲
,剾痧,,掠痧
,剾痧,,挽筋
,剾痧,,掠痧筋
,塗糜,,漉糊糜
,塗糜,,爛塗
,塗糜,,爛塗糜
,塗糜,,漉糊仔糜
,塗糜,,爛溝仔糜
,塗糜,,塗糊糜
,煞尾仔囝,,尾仔囝
,煞尾仔囝,,屘仔
,煞尾仔囝,,屘囝
,煞尾仔囝,,煞尾的
,跤捗,,跤蹄
,對頭親,,親家門風
,對頭親,,門風相對
,蔭瓜仔,,蔭瓜
,調羹仔,,湯匙仔
,貓貓相,,貓貓看
,頭轉客,,轉外家
,頭轉客,,頭倒客
,藥水布,,白布條
,顛倒反,,倒反
,顛倒反,,對反
,顛倒反,,顛倒
,觸纏,,纓纏
,鹹梅,,鹹梅仔
,鹹梅,,梅仔干
,攑頭香,,搶頭香
,攑頭香,,搶頭標
,譴損,,建古
,譴損,,徼兆
,𤺪雨,,麵線雨
,一必一中,,準準準
,大目孔,,目孔
,砂馬仔,,跤仙
,砂馬仔,,白扇仔
,砂馬仔,,山尾仔
,砂馬仔,,白跤擛仔
,砂馬仔,,山馬仔
,中中仔,,中等
,中中仔,,中範
,中中仔,,中範仔
,中範,,中等
,中範,,中中仔
,中範,,中範仔
,手爪賤,,歹手爪
,手爪賤,,手蹄賤
,手爪賤,,歹手癖
,手後曲,,手後彎
,手後曲,,手後蹬
,水濺仔,,漩桶
,水濺仔,,水濺
,火車母,,火車頭
,火車母,,機關車
,牛聲馬喉,,牛聲馬吼
,牛聲馬喉,,牛聲馬叫
,王梨酥,,冬瓜酥
,冊疊仔,,苴枋
,冬粉,,東粉
,央倩,,差教
,央倩,,央教
,央倩,,央叫
,央教,,差教
,央教,,央倩
,央教,,央叫
,布攄仔,,拖布
,布攄仔,,布拖仔
,交纏,,纓纏
,交纏,,觸纏
,冰礤,,冰絞
,合該,,該當
,合該,,應該
,合該,,應當
,囡仔頭王,,囡仔王
,囡仔頭王,,囡仔頭
,好死毋死,,毋拄好
,好死毋死,,無拄好
,好死毋死,,註死
,百百款,,百百種
,竹篙厝,,店頭厝
,行船人,,行船客
,行跤花,,行徙
,行跤花,,散步
,佗落,,佗位
,佗落,,佗落仔
,李仔攕,,李仔糖
,李仔攕,,鳥梨仔攕
,李仔攕,,鳥梨仔糖
,罕罕仔,,久久仔
,育𤆬,,育
,育𤆬,,騙
,育𤆬,,𤆬
,走無路,,閃無路
,走腹,,歹腹肚
,走腹,,落屎
,走腹,,瀉腹
,走縒,,走精
,走縒,,歪斜
,辛苦病疼,,身苦病疼
,車母,,火車母
,車母,,火車頭
,車母,,機關車
,車前草,,五根草
,呼請,,拜請
,咇噗跳,,噗噗跳
,咇噗跳,,咇噗惝
,咇噗跳,,噗噗惝
,和齊,,同齊
,抾肉幼仔,,抾肥肉
,拆白講,,講較白咧
,拍火,,救火
,果子栽,,果子栽仔
,炊粉,,幼米粉
,狀元粿,,竹筒粿
,空思夢想,,癡思夢想
,空思夢想,,烏白想
,空殼厝,,空厝間
,空殼厝,,空厝
,花蛤仔,,花蛤
,長篙形,,長株形
,侵門踏戶,,入門踏戶
,挑花刺繡,,做針黹
,枵飢失頓,,失頓枵飢
,枵過飢,,枵了過飢
,美國塗豆,,發財樹
,苦花,,苦倚
,苦花,,石頭倚
,苦花,,齊頭倚
,面冊,,人面冊
,面腔,,面色
,面腔,,面容
,面腔,,面貌
,面模,,面模仔
,面模,,鼻目喙
,面模,,面框
,厝尾頂,,厝頂
,烏子仔菜,,烏甜仔菜
,烏子仔菜,,烏鬼仔菜
,珠仔龜,,花點龜仔
,病母,,病底
,眩車丹,,眩車藥仔
,笑詼齣,,爆笑劇
,草仔子,,草子
,袂曉衰,,袂見笑
,袂曉衰,,袂曉通衰
,袂曉衰,,袂曉見笑
,袂曉衰,,袂見袂笑
,袂曉衰,,毋知見笑
,起酒痟,,起酒狂
,起蛟龍,,海漲
,起蛟龍,,滾蛟躘
,起蛟龍,,大海漲
,馬花糋,,馬蹄糋
,剪仔龜,,鉸刀蟲
,剪仔龜,,鉸刀龜仔
,剪絨仔花,,剪絨
,剪絨仔花,,剪絨花
,寄跤,,寄居
,寄跤,,寄蹛
,寄跤,,寄徛
,清飯,,白飯
,清飯,,白米飯
,紲落來,,閣來
,頂下歲,,頂下歲仔
,鳥鼠仔色,,殕色
,鳥鼠仔色,,殕的
,鳥鼠仔糖,,雙仁潤
,報戶口,,入戶口
,報戶口,,入家甲
,智覺,,發覺
,智覺,,感覺
,殘殘,,殘殘脆脆
,湠根,,生湠
,湠根,,生根
,粟埕,,稻埕
,粟埕,,大埕
,粟埕,,灰埕
,菜宅,,宅仔
,閒煩,,閒煩惱
,媽祖婆,,媽祖
,媽祖婆,,媽祖娘
,搭胸坎,,頓胸坎
,暗安,,晚安
,暗唸,,越唸
,暗唸,,暗記
,會得過,,會當過
,溜旋,,旋
,溜旋,,落跑
,溜旋,,閬港
,萬丈深坑,,萬底深坑
,萬丈深坑,,無底深坑
,萬不幸,,萬一
,萬不幸,,萬不二
,浮浪貢,,浮浪貢的
,蒂頭,,蒂頭仔
,隔工,,隔日
,隔工,,隔轉工
,隔工,,隔轉日
,隔工,,翻轉工
,隔工,,翻轉日
,電子批,,電批
,電子批,,電腦批
,電頭毛店,,剃頭店
,電頭毛店,,電頭鬃店
,電頭毛店,,美容院
,電頭毛店,,頭毛店
,頓蹬,,頓蹄
,飽漿,,飽米
,對重,,致重
,摔大眠,,睏大豬
,歌仔先,,歌仔仙
,漚戲拖棚,,歹戲拖棚
,噗仔聲,,掌聲
,閬雨縫,,閬雨站
,樹奶束仔,,樹奶
,樹奶束仔,,樹奶索仔
,樹奶束仔,,樹奶箍仔
,燃水,,燃茶
,賴賴趖,,賴賴行
,鋸屑烌,,鋸屑
,霎霎仔雨,,雨毛仔
,霎霎仔雨,,雨霎仔
,霎霎仔雨,,毛毛仔雨
,頭篩仔,,面頂百
,頭篩仔,,頭面頂百
,鴨雄仔聲,,鴨公聲
,䆀豆仔,,䆀豆
,䆀豆仔,,粉豆
,藥頭,,藥頭仔
,變弄,,變猴弄
